config,itemId,tier,purchases,per_match
standard,t1_hp_s,T1,2156,10.78
standard,bt_base,BOOTS,2000,10
standard,t1_ap_l,T1,1392,6.96
standard,t1_ah,T1,1352,6.76
standard,t1_ad_s,T1,1336,6.68
standard,t1_ad_l,T1,1314,6.57
standard,t2_sigil,T2,950,4.75
standard,st_blade,STARTER,796,3.98
standard,t1_as,T1,787,3.94
standard,t1_hp_l,T1,775,3.88
standard,t1_ap_s,T1,742,3.71
standard,t2_belt,T2,703,3.52
standard,bt_swift,BOOTS,583,2.92
standard,t2_core,T2,580,2.9
standard,t1_hsp,T1,554,2.77
standard,t2_mail,T2,543,2.72
standard,bt_iron,BOOTS,506,2.53
standard,t2_halo,T2,495,2.48
standard,t1_ar_s,T1,474,2.37
standard,t2_scope,T2,435,2.17
standard,t1_crit,T1,427,2.13
standard,t3_starcrown,T3,413,2.07
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,399,2
standard,t3_warbringer,T3,392,1.96
standard,t3_wardaltar,T3,367,1.84
standard,t2_veil,T2,354,1.77
standard,t2_rend,T2,330,1.65
standard,bt_arcane,BOOTS,302,1.51
standard,t3_bulwark,T3,287,1.44
standard,bt_focus,BOOTS,287,1.44
standard,t1_mr_s,T1,258,1.29
standard,t1_apen,T1,250,1.25
standard,t2_gale,T2,248,1.24
standard,t3_vowshield,T3,211,1.06
standard,t1_mr_l,T1,197,0.99
standard,t3_shadowblade,T3,192,0.96
standard,t3_calmveil,T3,128,0.64
standard,t2_rift,T2,115,0.57
standard,t2_heart,T2,81,0.41
standard,t1_mpen,T1,73,0.37
standard,t3_unbroken,T3,57,0.28
standard,t3_stormfork,T3,44,0.22
standard,t3_voidstaff,T3,33,0.17
standard,bt_quiet,BOOTS,32,0.16
standard,t3_shieldbreaker,T3,30,0.15
standard,t1_ar_l,T1,20,0.1
standard,t3_nightscythe,T3,18,0.09
standard,t2_echo,T2,14,0.07
standard,t3_thornmail,T3,14,0.07
standard,t3_finalstring,T3,13,0.07
standard,t3_redemption,T3,12,0.06
standard,t3_pierce,T3,12,0.06
standard,t3_lifespring,T3,11,0.06
standard,t3_bloodplate,T3,11,0.06
standard,t3_frostcrown,T3,9,0.05
standard,t3_rendspear,T3,9,0.05
standard,t3_psyward,T3,8,0.04
early,t1_hp_s,T1,2055,10.28
early,bt_base,BOOTS,2000,10
early,t1_ap_l,T1,1420,7.1
early,t1_ad_l,T1,1294,6.47
early,t1_ad_s,T1,1277,6.39
early,t1_ah,T1,1258,6.29
early,t2_sigil,T2,896,4.48
