config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
off,1,b1,blue,top,戰士,embercoil,,0,0,3,0,11379,18669,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,b2,blue,jungle,戰士,cinderfist,,0,1,2,1,7019,11170,950,39.8,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,b3,blue,mid,法師,auralith,,0,1,4,0,12495,12859,300,12.5,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,b4,blue,adc,射手,liangzicz,,0,2,3,0,9261,9419,628,26.3,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,b5,blue,sup,坦克,tixue,,0,2,2,1,4680,14093,628,26.3,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r1,red,top,戰士,embercoil,,1,5,0,2,10532,19347,1500,62.7,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r2,red,jungle,戰士,cinderfist,,1,4,2,3,10018,12002,1933,80.9,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r3,red,mid,法師,auralith,,1,2,1,3,12018,11560,600,25.1,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r4,red,adc,射手,liangzicz,,1,1,1,4,10302,8341,300,12.5,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r5,red,sup,坦克,tixue,,1,2,2,3,5874,13184,600,25.1,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,b1,blue,top,戰士,cinderfist,,0,1,3,0,8684,16763,300,14,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,b2,blue,jungle,戰士,chichuan,,0,0,1,0,2826,8522,550,25.7,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,b3,blue,mid,法師,ronghuo,,0,0,2,0,9005,9984,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,b4,blue,adc,射手,leiting,,0,0,1,0,6787,8192,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,b5,blue,sup,輔助,linghun,,0,0,0,0,3276,9530,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,r1,red,top,戰士,cinderfist,,1,4,1,0,6632,13206,1200,56.1,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,r2,red,jungle,戰士,chichuan,,1,0,0,3,6717,8688,544,25.4,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,r3,red,mid,法師,ronghuo,,1,3,0,2,11793,9343,900,42,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,r4,red,adc,射手,leiting,,1,0,0,3,5785,7310,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,r5,red,sup,輔助,linghun,,1,0,0,3,4152,8951,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,3,b1,blue,top,戰士,leimingcf,,0,1,5,0,9609,19152,300,11.4,,,,0,,,,,,,,,,,,,,,,,,0,,
off,3,b2,blue,jungle,戰士,jufeng,,0,0,7,1,6495,14323,622,23.6,,,,0,,,,,,,,,,,,,,,,,,0,,
off,3,b3,blue,mid,法師,gambler,,0,0,4,0,12245,13352,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,3,b4,blue,adc,射手,liangzi,,0,2,1,0,11504,11698,600,22.8,,,,0,,,,,,,,,,,,,,,,,,0,,
off,3,b5,blue,sup,輔助,shiguang,,0,0,5,1,5640,12951,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,3,r1,red,top,戰士,leimingcf,,1,12,0,1,16310,19640,3654,138.6,,,,0,,,,,,,,,,,,,,,,,,0,,
off,3,r2,red,jungle,戰士,jufeng,,1,4,0,5,9722,10984,1928,73.1,,,,0,,,,,,,,,,,,,,,,,,0,,
off,3,r3,red,mid,法師,gambler,,1,4,1,1,15204,12059,1200,45.5,,,,0,,,,,,,,,,,,,,,,,,0,,
