config,itemId,tier,purchases,per_match
standard,bt_base,BOOTS,2000,10
standard,t1_hp_s,T1,1964,9.82
standard,t1_ap_l,T1,1638,8.19
standard,t1_ad_l,T1,1590,7.95
standard,t1_ad_s,T1,1513,7.57
standard,t1_hp_l,T1,1463,7.32
standard,t1_ah,T1,1279,6.4
standard,t1_ap_s,T1,1181,5.91
standard,t2_belt,T2,1112,5.56
standard,t2_mail,T2,987,4.93
standard,t2_core,T2,950,4.75
standard,t2_sigil,T2,949,4.75
standard,t1_as,T1,926,4.63
standard,st_blade,STARTER,796,3.98
standard,t1_hsp,T1,689,3.45
standard,bt_swift,BOOTS,670,3.35
standard,t2_halo,T2,649,3.25
standard,t2_scope,T2,634,3.17
standard,t2_veil,T2,632,3.16
standard,t2_rend,T2,595,2.98
standard,t3_wardaltar,T3,587,2.94
standard,t2_gale,T2,581,2.91
standard,bt_iron,BOOTS,555,2.78
standard,t1_ar_s,T1,515,2.58
standard,t3_starcrown,T3,424,2.12
standard,st_tome,STARTER,404,2.02
standard,t1_mr_l,T1,401,2.01
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,t3_warbringer,T3,392,1.96
standard,t2_heart,T2,377,1.89
standard,t1_crit,T1,373,1.87
standard,bt_arcane,BOOTS,342,1.71
standard,t3_unbroken,T3,334,1.67
standard,t3_bulwark,T3,332,1.66
standard,t2_rift,T2,302,1.51
standard,bt_focus,BOOTS,299,1.5
standard,t3_calmveil,T3,288,1.44
standard,t1_mr_s,T1,258,1.29
standard,t3_voidstaff,T3,258,1.29
standard,t3_vowshield,T3,251,1.25
standard,t3_stormfork,T3,240,1.2
standard,t1_mpen,T1,208,1.04
standard,t3_shadowblade,T3,192,0.96
standard,t3_redemption,T3,187,0.94
standard,t1_apen,T1,176,0.88
standard,t3_shieldbreaker,T3,173,0.87
standard,t3_nightscythe,T3,153,0.77
standard,t3_bloodplate,T3,150,0.75
standard,t2_echo,T2,142,0.71
standard,t1_ar_l,T1,141,0.71
standard,t3_pierce,T3,109,0.55
standard,t3_lifespring,T3,58,0.29
standard,t3_finalstring,T3,57,0.28
standard,t3_frostcrown,T3,55,0.28
standard,t3_psyward,T3,55,0.28
standard,bt_quiet,BOOTS,35,0.18
standard,t3_thornmail,T3,31,0.16
standard,t3_rendspear,T3,21,0.11
standard,t2_scythe,T2,17,0.09
