config,seed,strategySide,over,duration_min,winner,strategyWon,kills,kills10,kills15,kills20,bK,rK,towers_blue_down,towers_red_down,towers20,blue_lane_cleared_min,red_lane_cleared_min,stall_min,guards_down_end,blue_nexus_hp_end,red_nexus_hp_end,dragons,barons,lastTowerFall_min,team_t3_20,rejected,violations,conservationFails,wallMs
standard,1,,1,23.41,red,,35,2,6,21,7,28,11,6,10,22.13,,,2,-813,7200,3,2,23.37,11.5,0,0,0,14847
standard,2,,1,20.88,red,,18,1,3,15,6,12,9,5,12,,,,2,-103,7200,3,2,20.72,11.5,0,0,0,14698
standard,3,,1,21.87,red,,17,0,3,15,4,13,10,7,13,,,,2,-289,7200,3,2,21.73,10.5,0,0,0,14844
standard,4,,1,24.1,blue,,32,2,5,18,10,22,7,10,11,,,,2,7200,-1878,4,3,24.08,11.5,0,0,0,15279
standard,5,,1,23.38,blue,,25,0,3,12,13,12,6,9,10,,,,2,7200,-130,3,2,23.28,10.5,0,0,0,15121
standard,6,,1,27.37,red,,41,1,4,13,14,27,10,6,10,,,,2,-1371,7200,4,3,27.34,10.5,0,0,0,16278
standard,7,,1,20.56,red,,19,1,8,16,1,18,11,4,13,19.85,,,2,-343,7200,3,2,20.41,11.5,0,0,0,14552
standard,8,,1,24.77,blue,,33,1,3,13,14,19,6,8,10,,,,2,7200,-361,3,3,24.68,11,0,0,0,15667
standard,9,,1,24.08,red,,35,0,4,15,7,28,9,6,9,,,,2,-3366,7200,4,3,24.06,11.5,0,0,0,6907
standard,10,,1,23.91,red,,29,0,4,17,15,14,8,6,8,,,,2,-142,7200,3,2,23.88,11,0,0,0,7183
standard,11,,1,18.73,red,,21,4,10,,3,18,9,3,,,,,2,-241,7200,3,2,18.6,0,0,0,0,5477
standard,12,,1,23.12,red,,23,1,4,12,10,13,9,6,13,,,,2,-3157,7200,3,3,23.09,11.5,0,0,0,6920
standard,13,,1,20.23,red,,15,1,7,15,2,13,10,6,14,,,,2,-223,7200,3,2,20.14,11.5,0,0,0,5909
standard,14,,1,22.73,red,,27,3,11,19,8,19,9,4,10,,,,2,-66,7200,3,3,22.68,11,0,0,0,6832
standard,15,,1,20.93,red,,20,2,3,15,2,18,11,6,14,20.43,,,2,-258,7200,3,2,20.87,11.5,0,0,0,6318
standard,16,,1,26.63,blue,,38,0,5,14,17,21,8,10,11,,,,2,7200,-2566,4,3,26.59,11.5,0,0,0,7853
standard,17,,1,24.69,blue,,23,0,2,7,10,13,6,10,9,,,,2,7200,-302,3,2,24.65,10.5,0,0,0,6920
standard,18,,1,22.91,red,,24,1,8,14,6,18,10,5,9,,,,2,-746,7200,3,2,22.87,11,0,0,0,6737
standard,19,,1,24.63,red,,30,0,3,12,7,23,11,7,7,23.16,,,2,-2630,7200,4,3,24.61,11,0,0,0,6900
standard,20,,1,19.86,blue,,10,0,2,,4,6,5,9,,,,,2,7200,-145,3,2,19.78,0,0,0,0,5860
standard,21,,1,23.12,red,,23,3,8,17,5,18,9,7,11,,,,2,-566,7200,3,3,23.09,12,0,0,0,6485
