config,itemId,tier,purchases,per_match
early,bt_base,BOOTS,2000,10
early,t1_hp_s,T1,1924,9.62
early,t1_ad_l,T1,1782,8.91
early,t1_ap_l,T1,1742,8.71
early,t1_hp_l,T1,1680,8.4
early,t1_ad_s,T1,1577,7.89
early,t2_mail,T2,1242,6.21
early,t1_ah,T1,1157,5.79
early,t2_belt,T2,1149,5.75
early,t2_core,T2,1093,5.47
early,t1_ap_s,T1,1038,5.19
early,t2_sigil,T2,895,4.47
early,t2_scope,T2,810,4.05
early,t1_as,T1,809,4.05
early,t2_rend,T2,803,4.01
early,st_blade,STARTER,796,3.98
early,t2_veil,T2,772,3.86
early,t2_gale,T2,745,3.73
early,t2_halo,T2,662,3.31
early,bt_swift,BOOTS,658,3.29
early,t1_ar_s,T1,627,3.14
early,t3_wardaltar,T3,592,2.96
early,t1_hsp,T1,587,2.94
early,bt_iron,BOOTS,566,2.83
early,t2_heart,T2,552,2.76
early,t1_mr_l,T1,457,2.29
early,t1_crit,T1,429,2.15
early,t3_starcrown,T3,424,2.12
early,st_tome,STARTER,404,2.02
early,t3_unbroken,T3,402,2.01
early,st_hunter,STARTER,400,2
early,st_tithe,STARTER,400,2
early,t3_dawnbow,T3,400,2
early,t3_warbringer,T3,392,1.96
early,bt_arcane,BOOTS,373,1.87
early,t3_calmveil,T3,365,1.83
early,t3_bulwark,T3,356,1.78
early,t3_vowshield,T3,336,1.68
early,t2_rift,T2,315,1.58
early,t3_voidstaff,T3,313,1.57
early,t3_shieldbreaker,T3,305,1.53
early,t1_mr_s,T1,300,1.5
early,bt_focus,BOOTS,298,1.49
early,t3_stormfork,T3,280,1.4
early,t1_apen,T1,263,1.32
early,t3_bloodplate,T3,257,1.29
early,t1_ar_l,T1,251,1.25
early,t2_echo,T2,240,1.2
early,t3_redemption,T3,200,1
early,t3_shadowblade,T3,192,0.96
early,t1_mpen,T1,190,0.95
early,t3_pierce,T3,174,0.87
early,t3_nightscythe,T3,174,0.87
early,t3_thornmail,T3,129,0.65
early,t3_frostcrown,T3,128,0.64
early,t3_lifespring,T3,123,0.62
early,t3_finalstring,T3,113,0.56
early,t3_rendspear,T3,100,0.5
early,t2_scythe,T2,97,0.49
early,t3_psyward,T3,81,0.41
early,bt_quiet,BOOTS,36,0.18
scaling,bt_base,BOOTS,2000,10
scaling,t1_hp_s,T1,1884,9.42
scaling,t1_ad_l,T1,1805,9.03
scaling,t1_ap_l,T1,1796,8.98
scaling,t1_hp_l,T1,1750,8.75
scaling,t1_ad_s,T1,1748,8.74
scaling,t2_mail,T2,1227,6.14
scaling,t1_ah,T1,1182,5.91
scaling,t2_belt,T2,1177,5.89
scaling,t2_core,T2,1132,5.66
scaling,t2_sigil,T2,913,4.57
scaling,t1_as,T1,904,4.52
scaling,t1_ap_s,T1,863,4.32
scaling,t2_rend,T2,840,4.2
scaling,t2_scope,T2,828,4.14
scaling,st_blade,STARTER,796,3.98
scaling,t2_gale,T2,762,3.81
scaling,t2_veil,T2,742,3.71
scaling,t1_ar_s,T1,645,3.23
scaling,bt_swift,BOOTS,622,3.11
scaling,t2_halo,T2,607,3.04
scaling,t1_hsp,T1,602,3.01
scaling,t3_wardaltar,T3,592,2.96
scaling,t2_heart,T2,574,2.87
