config,seed,strategySide,over,duration_min,winner,strategyWon,kills,kills10,kills15,kills20,bK,rK,towers_blue_down,towers_red_down,towers20,blue_lane_cleared_min,red_lane_cleared_min,stall_min,guards_down_end,blue_nexus_hp_end,red_nexus_hp_end,dragons,barons,lastTowerFall_min,team_t3_20,rejected,violations,conservationFails,wallMs
early,1,red,1,22.34,red,1,21,4,6,15,6,15,10,5,10,,,,2,-461,7200,3,2,22.22,11.5,0,0,0,14459
early,2,blue,1,23.87,red,0,36,3,9,19,8,28,10,6,12,,,,2,-1416,7200,4,3,23.83,13,0,0,0,14334
early,3,red,1,21.39,red,1,22,4,8,18,7,15,11,6,14,20.53,,,2,-62,7200,3,2,21.25,12.5,0,0,0,14093
early,4,blue,1,23.63,blue,1,28,0,5,15,11,17,8,9,11,,,,2,7200,-1096,3,2,23.58,11.5,0,0,0,14786
early,5,red,1,22.42,blue,0,17,0,3,11,10,7,5,11,10,,21.34,,2,7200,-1139,3,2,22.37,11,0,0,0,14287
early,6,blue,1,26.88,blue,1,46,0,4,15,12,34,8,11,10,,25.98,,2,7200,-875,4,3,26.86,11.5,0,0,0,15507
early,7,red,1,25.2,blue,0,34,2,7,14,17,17,8,10,10,,,,2,7200,-867,3,2,25.16,11.5,0,0,0,15032
early,8,blue,1,21.92,red,0,19,1,4,15,8,11,9,6,7,,,,2,-420,7200,3,2,21.87,11,0,0,0,14228
early,9,red,1,18.96,red,1,21,3,11,,1,20,9,3,,,,,2,-6,7200,2,2,18.88,0,0,0,0,5818
early,10,blue,1,20.7,red,0,18,1,4,18,7,11,9,5,10,,,,2,-270,7200,3,2,20.62,11.5,0,0,0,6476
early,11,red,1,18.72,red,1,12,2,7,,6,6,7,4,,,,,2,-448,7200,3,2,18.59,0,0,0,0,6097
early,12,blue,1,21.92,red,0,23,4,5,16,8,15,10,4,11,,,,2,-420,7200,3,2,21.87,11,0,0,0,6558
early,13,red,1,21.87,blue,0,25,2,5,19,7,18,6,8,10,,,,2,7200,-289,3,2,21.73,12,0,0,0,6460
early,14,blue,1,22.91,red,0,21,1,7,16,6,15,10,6,11,,,,2,-179,7200,4,2,22.87,12,0,0,0,6810
early,15,red,1,23.35,red,1,22,0,2,13,10,12,10,5,9,,,,2,-91,7200,4,2,23.25,12.5,0,0,0,7255
early,16,blue,1,20.43,red,0,20,0,4,16,4,16,11,3,8,20.35,,,2,-3426,7200,3,2,20.37,12.5,0,0,0,6401
early,17,red,1,19.38,red,1,13,2,9,,2,11,7,6,,,,,2,-1110,7200,2,1,19.31,0,0,0,0,6003
early,18,blue,1,21.93,red,0,19,3,4,15,4,15,9,5,11,,,,2,-432,7200,3,2,21.88,12.5,0,0,0,6504
early,19,red,1,23.15,red,1,21,0,3,12,11,10,9,6,13,,,,2,-609,7200,3,3,23.13,12,0,0,0,6829
early,20,blue,1,18,red,0,12,2,7,,2,10,9,3,,,,,2,-544,7200,3,2,17.88,0,0,0,0,5562
