config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
early,1,b1,blue,top,戰士,embercoil,standard,0,0,2,1,11192,24516,8622,385.9,10.43,16.27,,2,0,1,2,2,1648,771,469,1242,3698,5721,7849,6253,741,,285,475,,95,,t3_shieldbreaker|t3_finalstring
early,1,b2,blue,jungle,戰士,cinderfist,standard,0,3,4,0,10293,17574,10069,450.7,8.7,17.72,21.39,3,1,1,2,3,553,836,1054,169,3653,6316,9284,6253,399,1710,,158,668,95,,t3_shieldbreaker|t3_finalstring
early,1,b3,blue,mid,法師,auralith,standard,0,0,3,0,11117,16447,8983,402.1,11.15,16.91,,2,0,1,2,2,1542,189,447,403,3802,5569,7697,6253,874,,,475,,95,,t3_psyward
early,1,b4,blue,adc,射手,liangzicz,standard,0,3,5,0,15537,12024,10282,460.2,9.84,19.61,,2,1,1,2,2,154,44,380,1531,3504,5544,7900,6253,918,570,,158,,0,,t3_shieldbreaker|t3_rendspear
early,1,b5,blue,sup,坦克,tixue,standard,0,0,1,1,5873,19332,10024,448.7,7.98,14.92,17.98,3,1,2,3,3,366,233,356,443,4566,7033,9156,6253,259,,285,158,,95,2104,t3_calmveil|t3_thornmail
early,1,r1,red,top,戰士,embercoil,early,1,4,0,0,14218,22924,12324,551.6,9.05,13.85,19.24,3,1,2,3,3,484,364,346,874,5534,7814,11196,6253,1048,2280,,1235,,380,,t3_shieldbreaker|t3_finalstring
early,1,r2,red,jungle,戰士,cinderfist,early,1,1,2,3,7944,15187,11429,511.6,8.18,17.2,20.26,3,1,1,2,3,45,1187,1124,929,4145,6667,9724,6253,171,570,570,285,1494,380,,t3_shieldbreaker|t3_finalstring
early,1,r3,red,mid,法師,auralith,early,1,2,1,0,17409,12924,10909,488.3,10.64,17.96,22.19,3,0,1,2,3,1403,431,421,358,3663,6931,9401,6253,962,570,,1235,,380,,t3_psyward
early,1,r4,red,adc,射手,liangzicz,early,1,7,2,3,26658,8349,13854,620.1,10.77,15.91,20.93,3,0,1,2,3,992,1080,1897,2053,4052,6760,10797,6253,886,2280,712,285,,380,,t3_shieldbreaker|t3_rendspear
early,1,r5,red,sup,坦克,tixue,early,1,1,1,2,8461,16750,11248,503.5,8.03,12.67,19,3,1,2,3,3,595,391,594,1268,5095,7631,9674,6253,237,570,142,285,,380,1805,t3_calmveil|t3_thornmail
