config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
standard,1,b1,blue,top,戰士,embercoil,standard,0,1,5,0,7432,25604,9762,417.3,8.59,15.8,,2,1,1,2,2,612,512,302,1482,3762,6042,8582,6582,800,600,,600,,0,,t3_shieldbreaker|t3_finalstring
standard,1,b2,blue,jungle,戰士,cinderfist,standard,0,1,4,0,8050,17284,10288,439.8,8.09,15.67,,2,1,1,2,2,950,1154,666,2057,4050,6634,8896,6582,280,600,,100,1066,266,,t3_shieldbreaker|t3_finalstring
standard,1,b3,blue,mid,法師,auralith,standard,0,1,5,1,21087,16136,11372,486.2,10.18,17.48,21.92,3,0,1,2,3,1532,292,492,722,3792,6492,9092,6582,743,600,300,600,,266,,t3_psyward
standard,1,b4,blue,adc,射手,liangzicz,standard,0,0,5,1,17431,9671,9692,414.4,9.22,19.31,,2,1,1,2,2,352,362,532,792,3702,5442,7532,6582,700,,150,100,,0,,t3_shieldbreaker|t3_rendspear
standard,1,b5,blue,sup,坦克,tixue,standard,0,0,3,1,5402,21946,10699,457.4,7.34,12.66,17.58,3,1,2,3,3,494,334,459,1119,4694,7134,9559,6582,236,,150,100,27,266,2196,t3_calmveil|t3_thornmail
standard,1,r1,red,top,戰士,embercoil,standard,1,3,0,2,11973,24753,13326,569.7,7.31,14.86,19.94,4,1,2,3,4,952,339,129,475,4102,7189,10559,6582,920,1200,450,900,,506,,t3_shieldbreaker|t3_finalstring
standard,1,r2,red,jungle,戰士,cinderfist,standard,1,6,0,1,16971,17098,14953,639.3,7.88,14.79,17.57,4,1,2,3,4,508,279,701,1503,4308,8279,11681,6582,373,2400,150,400,1268,506,,t3_shieldbreaker|t3_finalstring
standard,1,r3,red,mid,法師,auralith,standard,1,3,2,6,23630,12006,13426,574,9.83,17.45,20.99,3,1,1,2,3,146,896,386,1825,3996,6496,9436,6582,1013,600,600,400,,240,,t3_psyward
standard,1,r4,red,adc,射手,liangzicz,standard,1,9,0,0,28078,9009,15929,681,9.46,17.08,20.11,5,1,1,2,5,612,869,2509,329,3962,6549,11409,6582,920,3000,,400,,506,,t3_shieldbreaker|t3_rendspear
standard,1,r5,red,sup,坦克,tixue,standard,1,1,1,3,5436,20425,13293,568.3,6.5,12.48,15.6,4,1,2,3,4,337,497,1326,1692,4837,7737,11306,6582,173,600,300,900,,240,2510,t3_calmveil|t3_thornmail
