config,itemId,tier,purchases,per_match
standard,t1_hp_s,T1,2035,10.18
standard,bt_base,BOOTS,2000,10
standard,t1_hp_l,T1,1850,9.25
standard,t1_ad_s,T1,1847,9.24
standard,t1_ad_l,T1,1843,9.22
standard,t1_ap_l,T1,1840,9.2
standard,t2_mail,T2,1333,6.67
standard,t1_ah,T1,1303,6.52
standard,t2_core,T2,1251,6.26
standard,t2_belt,T2,1228,6.14
standard,t1_ap_s,T1,998,4.99
standard,t1_as,T1,994,4.97
standard,t2_sigil,T2,921,4.61
standard,t2_scope,T2,902,4.51
standard,t2_rend,T2,898,4.49
standard,t2_gale,T2,832,4.16
standard,t2_veil,T2,797,3.99
standard,st_blade,STARTER,796,3.98
standard,bt_swift,BOOTS,694,3.47
standard,t1_ar_s,T1,670,3.35
standard,t2_heart,T2,664,3.32
standard,t1_hsp,T1,658,3.29
standard,t2_halo,T2,602,3.01
standard,t3_wardaltar,T3,592,2.96
standard,bt_iron,BOOTS,568,2.84
standard,t1_mr_l,T1,491,2.46
standard,t3_unbroken,T3,471,2.36
standard,t3_calmveil,T3,452,2.26
standard,t3_starcrown,T3,424,2.12
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,bt_arcane,BOOTS,394,1.97
standard,t3_warbringer,T3,392,1.96
standard,t2_rift,T2,374,1.87
standard,t3_voidstaff,T3,371,1.86
standard,t3_bulwark,T3,365,1.83
standard,t3_stormfork,T3,350,1.75
standard,t1_crit,T1,348,1.74
standard,t3_vowshield,T3,342,1.71
standard,t1_mr_s,T1,317,1.59
standard,t3_shieldbreaker,T3,316,1.58
standard,bt_focus,BOOTS,300,1.5
standard,t2_echo,T2,297,1.49
standard,t1_ar_l,T1,295,1.48
standard,t3_bloodplate,T3,273,1.37
standard,t1_apen,T1,252,1.26
standard,t3_pierce,T3,251,1.25
standard,t1_mpen,T1,225,1.13
standard,t3_thornmail,T3,204,1.02
standard,t3_lifespring,T3,200,1
standard,t3_redemption,T3,200,1
standard,t3_frostcrown,T3,196,0.98
standard,t3_shadowblade,T3,192,0.96
standard,t3_nightscythe,T3,182,0.91
standard,t3_finalstring,T3,165,0.83
standard,t3_rendspear,T3,148,0.74
standard,t3_psyward,T3,111,0.56
standard,t2_scythe,T2,90,0.45
standard,bt_quiet,BOOTS,38,0.19
