config,seed,strategySide,over,duration_min,winner,strategyWon,kills,kills10,kills15,kills20,bK,rK,towers_blue_down,towers_red_down,towers20,blue_lane_cleared_min,red_lane_cleared_min,stall_min,guards_down_end,blue_nexus_hp_end,red_nexus_hp_end,dragons,barons,lastTowerFall_min,team_t3_20,rejected,violations,conservationFails,wallMs
off,1,,1,24.21,red,,19,2,7,14,7,12,9,4,5,,,,2,-478,7200,3,2,24.16,,0,0,0,16994
off,2,,1,32.35,red,,28,2,3,9,9,19,10,5,5,,,,2,-1876,7200,4,4,32.33,,0,0,0,19651
off,3,,1,23.64,red,,12,1,7,9,2,10,9,5,9,,,,2,-1254,7200,3,3,23.62,,0,0,0,16689
off,4,,1,24.31,red,,23,2,9,16,5,18,9,3,6,,,,2,-568,7200,3,2,24.22,,0,0,0,16347
off,5,,1,32.67,blue,,41,3,7,11,13,28,6,9,5,,,,2,7200,-275,4,3,32.65,,0,0,0,19271
off,6,,1,31.85,red,,31,2,3,8,14,17,10,5,5,,,,2,-4920,7200,4,4,31.83,,0,0,0,19373
off,7,,1,26.73,blue,,24,2,8,13,7,17,6,8,6,,,,2,7200,-703,4,3,26.67,,0,0,0,17373
off,8,,1,24.91,blue,,24,5,10,14,15,9,4,9,7,,,,2,7200,-1321,3,3,24.88,,0,0,0,16808
off,9,,1,20.64,red,,16,4,12,16,10,6,8,4,11,,,,2,-935,7200,2,1,20.58,,0,0,0,8639
off,10,,1,23.16,blue,,22,8,11,16,7,15,6,9,11,,,,2,7200,-1084,3,3,23.12,,0,0,0,8890
off,11,,1,25.9,red,,21,4,9,14,7,14,10,4,6,,,,2,-2574,7200,3,3,25.87,,0,0,0,9652
off,12,,1,24.58,red,,15,3,6,9,4,11,9,4,5,,,,2,-934,7200,3,3,24.56,,0,0,0,9592
off,13,,1,22.63,red,,17,2,8,12,3,14,9,2,8,,,,2,-2323,7200,3,3,22.59,,0,0,0,8809
off,14,,1,39.15,blue,,66,2,6,13,33,33,7,9,11,,,,2,7200,-5351,6,5,39.13,,0,0,0,13678
off,15,,1,22.86,red,,14,3,4,7,7,7,8,3,8,,,,2,-74,7200,3,2,22.75,,0,0,0,8942
off,16,,1,33.6,red,,40,5,9,13,18,22,8,6,6,,,,2,-1742,7200,4,4,33.59,,0,0,0,11742
off,17,,1,25.87,red,,26,2,9,18,2,24,10,3,6,,,,2,-2528,7200,5,3,25.83,,0,0,0,8690
off,18,,1,20.23,red,,19,2,12,19,3,16,9,2,9,,,,2,-223,7200,3,2,20.14,,0,0,0,7207
off,19,,1,34.67,blue,,49,2,6,13,30,19,6,9,8,,,,2,7200,-1703,6,5,34.65,,0,0,0,10727
off,20,,1,25.37,red,,26,4,4,16,6,20,9,3,5,,,,2,-1064,7200,5,3,25.33,,0,0,0,8662
