config,itemId,tier,purchases,per_match
standard,t1_hp_s,T1,2020,10.1
standard,bt_base,BOOTS,2000,10
standard,t1_ad_l,T1,1875,9.38
standard,t1_ap_l,T1,1849,9.24
standard,t1_hp_l,T1,1838,9.19
standard,t1_ad_s,T1,1828,9.14
standard,t1_ah,T1,1305,6.53
standard,t2_mail,T2,1299,6.5
standard,t2_core,T2,1244,6.22
standard,t2_belt,T2,1216,6.08
standard,t1_as,T1,984,4.92
standard,t1_ap_s,T1,973,4.87
standard,t2_sigil,T2,916,4.58
standard,t2_scope,T2,911,4.56
standard,t2_rend,T2,902,4.51
standard,t2_gale,T2,843,4.22
standard,t2_veil,T2,817,4.09
standard,st_blade,STARTER,796,3.98
standard,bt_swift,BOOTS,695,3.48
standard,t1_hsp,T1,671,3.36
standard,t1_ar_s,T1,659,3.3
standard,t2_heart,T2,649,3.25
standard,t2_halo,T2,616,3.08
standard,t3_wardaltar,T3,592,2.96
standard,bt_iron,BOOTS,569,2.85
standard,t1_mr_l,T1,493,2.47
standard,t3_unbroken,T3,470,2.35
standard,t3_calmveil,T3,436,2.18
standard,t3_starcrown,T3,424,2.12
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,t3_warbringer,T3,392,1.96
standard,bt_arcane,BOOTS,392,1.96
standard,t3_bulwark,T3,368,1.84
standard,t2_rift,T2,360,1.8
standard,t3_vowshield,T3,359,1.8
standard,t3_voidstaff,T3,349,1.75
standard,t3_shieldbreaker,T3,349,1.75
standard,t1_mr_s,T1,344,1.72
standard,t3_stormfork,T3,340,1.7
standard,t1_crit,T1,337,1.69
standard,bt_focus,BOOTS,300,1.5
standard,t1_ar_l,T1,283,1.42
standard,t2_echo,T2,267,1.34
standard,t3_bloodplate,T3,266,1.33
standard,t1_apen,T1,254,1.27
standard,t3_pierce,T3,240,1.2
standard,t1_mpen,T1,220,1.1
standard,t3_redemption,T3,200,1
standard,t3_lifespring,T3,198,0.99
standard,t3_shadowblade,T3,192,0.96
standard,t3_nightscythe,T3,183,0.92
standard,t3_thornmail,T3,179,0.9
standard,t3_finalstring,T3,172,0.86
standard,t3_frostcrown,T3,166,0.83
standard,t3_rendspear,T3,137,0.69
standard,t3_psyward,T3,113,0.56
standard,t2_scythe,T2,98,0.49
standard,bt_quiet,BOOTS,38,0.19
