config,itemId,tier,purchases,per_match
standard,bt_base,BOOTS,2000,10
standard,t1_hp_s,T1,1971,9.86
standard,t1_hp_l,T1,1865,9.32
standard,t1_ap_l,T1,1838,9.19
standard,t1_ad_l,T1,1815,9.07
standard,t1_ad_s,T1,1805,9.03
standard,t1_ah,T1,1315,6.58
standard,t2_mail,T2,1295,6.48
standard,t2_belt,T2,1225,6.13
standard,t2_core,T2,1218,6.09
standard,t1_as,T1,988,4.94
standard,t1_ap_s,T1,986,4.93
standard,t2_sigil,T2,917,4.59
standard,t2_scope,T2,894,4.47
standard,t2_rend,T2,889,4.45
standard,t2_gale,T2,835,4.18
standard,st_blade,STARTER,796,3.98
standard,t2_veil,T2,769,3.85
standard,bt_swift,BOOTS,693,3.47
standard,t1_ar_s,T1,680,3.4
standard,t2_heart,T2,649,3.25
standard,t1_hsp,T1,642,3.21
standard,t2_halo,T2,628,3.14
standard,t3_wardaltar,T3,592,2.96
standard,bt_iron,BOOTS,568,2.84
standard,t1_mr_l,T1,495,2.48
standard,t3_unbroken,T3,472,2.36
standard,t3_calmveil,T3,438,2.19
standard,t3_starcrown,T3,424,2.12
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,bt_arcane,BOOTS,393,1.97
standard,t3_warbringer,T3,392,1.96
standard,t2_rift,T2,366,1.83
standard,t3_bulwark,T3,364,1.82
standard,t3_voidstaff,T3,361,1.81
standard,t3_stormfork,T3,346,1.73
standard,t3_vowshield,T3,342,1.71
standard,t3_shieldbreaker,T3,329,1.65
standard,t1_crit,T1,320,1.6
standard,t1_mr_s,T1,310,1.55
standard,bt_focus,BOOTS,300,1.5
standard,t2_echo,T2,286,1.43
standard,t1_ar_l,T1,285,1.43
standard,t3_bloodplate,T3,270,1.35
standard,t3_pierce,T3,244,1.22
standard,t1_apen,T1,230,1.15
standard,t1_mpen,T1,204,1.02
standard,t3_redemption,T3,200,1
standard,t3_shadowblade,T3,192,0.96
standard,t3_lifespring,T3,191,0.96
standard,t3_nightscythe,T3,180,0.9
standard,t3_thornmail,T3,177,0.89
standard,t3_frostcrown,T3,175,0.88
standard,t3_finalstring,T3,154,0.77
standard,t3_rendspear,T3,139,0.7
standard,t3_psyward,T3,90,0.45
standard,t2_scythe,T2,82,0.41
standard,bt_quiet,BOOTS,38,0.19
