config,itemId,tier,purchases,per_match
standard,t1_hp_s,T1,2048,10.24
standard,bt_base,BOOTS,2000,10
standard,t1_ap_l,T1,1911,9.56
standard,t1_ad_l,T1,1862,9.31
standard,t1_hp_l,T1,1775,8.88
standard,t1_ad_s,T1,1773,8.87
standard,t2_core,T2,1325,6.63
standard,t2_mail,T2,1268,6.34
standard,t1_ah,T1,1249,6.25
standard,t2_belt,T2,1201,6.01
standard,t1_as,T1,968,4.84
standard,t1_ap_s,T1,946,4.73
standard,t2_sigil,T2,916,4.58
standard,t2_rend,T2,909,4.55
standard,t2_veil,T2,906,4.53
standard,t2_scope,T2,896,4.48
standard,t2_gale,T2,834,4.17
standard,st_blade,STARTER,796,3.98
standard,bt_swift,BOOTS,696,3.48
standard,t1_ar_s,T1,666,3.33
standard,t1_hsp,T1,599,3
standard,t2_halo,T2,597,2.99
standard,t3_wardaltar,T3,592,2.96
standard,bt_iron,BOOTS,569,2.85
standard,t2_heart,T2,556,2.78
standard,t1_mr_l,T1,504,2.52
standard,t3_calmveil,T3,455,2.28
standard,t3_unbroken,T3,452,2.26
standard,t3_starcrown,T3,424,2.12
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,t3_warbringer,T3,392,1.96
standard,bt_arcane,BOOTS,392,1.96
standard,t1_mr_s,T1,392,1.96
standard,t3_bulwark,T3,366,1.83
standard,t2_rift,T2,355,1.78
standard,t3_voidstaff,T3,350,1.75
standard,t3_vowshield,T3,349,1.75
standard,t3_stormfork,T3,338,1.69
standard,t3_shieldbreaker,T3,334,1.67
standard,t1_crit,T1,329,1.65
standard,bt_focus,BOOTS,300,1.5
standard,t1_ar_l,T1,287,1.44
standard,t3_bloodplate,T3,251,1.25
standard,t3_pierce,T3,238,1.19
standard,t1_apen,T1,237,1.19
standard,t1_mpen,T1,219,1.1
standard,t3_finalstring,T3,210,1.05
standard,t3_shadowblade,T3,192,0.96
standard,t3_thornmail,T3,191,0.96
standard,t2_echo,T2,190,0.95
standard,t3_redemption,T3,187,0.94
standard,t3_psyward,T3,185,0.93
standard,t3_nightscythe,T3,179,0.9
standard,t3_frostcrown,T3,173,0.87
standard,t3_rendspear,T3,146,0.73
standard,t3_lifespring,T3,117,0.59
standard,t2_scythe,T2,99,0.5
standard,bt_quiet,BOOTS,38,0.19
standard,t2_vial,T2,3,0.02
standard,t3_soulrend,T3,2,0.01
