config,seed,strategySide,over,duration_min,winner,strategyWon,kills,kills10,kills15,kills20,bK,rK,towers_blue_down,towers_red_down,towers20,blue_lane_cleared_min,red_lane_cleared_min,stall_min,guards_down_end,blue_nexus_hp_end,red_nexus_hp_end,dragons,barons,lastTowerFall_min,team_t3_20,rejected,violations,conservationFails,wallMs
off,1,,1,24.21,red,,19,2,7,14,7,12,9,4,5,,,,2,-478,7200,3,2,24.16,,0,0,0,10356
off,2,,1,32.35,red,,28,2,3,9,9,19,10,5,5,,,,2,-1876,7200,4,4,32.33,,0,0,0,11880
off,3,,1,23.64,red,,12,1,7,9,2,10,9,5,9,,,,2,-1254,7200,3,3,23.62,,0,0,0,10420
off,4,,1,24.31,red,,23,2,9,16,5,18,9,3,6,,,,2,-568,7200,3,2,24.22,,0,0,0,10312
off,5,,1,32.67,blue,,41,3,7,11,13,28,6,9,5,,,,2,7200,-275,4,3,32.65,,0,0,0,11858
off,6,,1,31.85,red,,31,2,3,8,14,17,10,5,5,,,,2,-4920,7200,4,4,31.83,,0,0,0,11872
off,7,,1,26.73,blue,,24,2,8,13,7,17,6,8,6,,,,2,7200,-703,4,3,26.67,,0,0,0,5848
off,8,,1,24.91,blue,,24,5,10,14,15,9,4,9,7,,,,2,7200,-1321,3,3,24.88,,0,0,0,5660
off,9,,1,20.64,red,,16,4,12,16,10,6,8,4,11,,,,2,-935,7200,2,1,20.58,,0,0,0,5116
off,10,,1,23.16,blue,,22,8,11,16,7,15,6,9,11,,,,2,7200,-1084,3,3,23.12,,0,0,0,5464
off,11,,1,25.9,red,,21,4,9,14,7,14,10,4,6,,,,2,-2574,7200,3,3,25.87,,0,0,0,5829
off,12,,1,24.58,red,,15,3,6,9,4,11,9,4,5,,,,2,-934,7200,3,3,24.56,,0,0,0,5624
off,13,,1,22.63,red,,17,2,8,12,3,14,9,2,8,,,,2,-2323,7200,3,3,22.59,,0,0,0,5646
off,14,,1,39.15,blue,,66,2,6,13,33,33,7,9,11,,,,2,7200,-5351,6,5,39.13,,0,0,0,8612
off,15,,1,22.86,red,,14,3,4,7,7,7,8,3,8,,,,2,-74,7200,3,2,22.75,,0,0,0,5938
off,16,,1,33.6,red,,40,5,9,13,18,22,8,6,6,,,,2,-1742,7200,4,4,33.59,,0,0,0,7818
off,17,,1,25.87,red,,26,2,9,18,2,24,10,3,6,,,,2,-2528,7200,5,3,25.83,,0,0,0,6165
off,18,,1,20.23,red,,19,2,12,19,3,16,9,2,9,,,,2,-223,7200,3,2,20.14,,0,0,0,5015
off,19,,1,34.67,blue,,49,2,6,13,30,19,6,9,8,,,,2,7200,-1703,6,5,34.65,,0,0,0,7618
off,20,,1,25.37,red,,26,4,4,16,6,20,9,3,5,,,,2,-1064,7200,5,3,25.33,,0,0,0,6071
off,21,,1,24.56,red,,16,2,3,10,5,11,9,3,7,,,,2,-4145,7200,3,3,24.53,,0,0,0,5884
off,22,,1,32.91,red,,28,2,7,12,15,13,9,9,11,,,,3,-2352,7200,5,4,32.89,,0,0,0,8019
off,23,,1,24.38,red,,17,1,3,8,3,14,9,4,10,,,,2,-733,7200,4,3,23.93,,0,0,0,6020
off,24,,1,23.63,blue,,24,3,9,16,14,10,4,8,8,,,,2,7200,-1745,3,3,23.59,,0,0,0,5912
off,25,,1,29.34,red,,30,4,5,11,8,22,9,5,8,,,,2,-2201,7200,6,4,29.32,,0,0,0,7089
off,26,,1,26.45,blue,,18,2,8,11,11,7,4,10,9,,,,2,7200,-431,4,3,26.41,,0,0,0,6471
off,27,,1,25.9,red,,29,4,11,21,9,20,9,5,7,,,,2,-1686,7200,4,3,25.87,,0,0,0,6346
off,28,,1,30.83,red,,46,5,10,17,12,34,10,4,6,,,,2,-3154,7200,5,4,30.82,,0,0,0,6848
off,29,,1,25.29,red,,19,2,6,14,3,16,9,4,6,,,,2,-137,7200,3,2,25.22,,0,0,0,5968
off,30,,1,31.58,blue,,50,5,14,22,24,26,5,9,6,,,,2,7200,-231,5,4,31.58,,0,0,0,7238
off,31,,1,30.4,blue,,32,3,6,14,9,23,4,9,8,,,,2,7200,-1805,5,4,30.38,,0,0,0,7026
off,32,,1,23.82,red,,15,2,4,6,3,12,8,5,8,,,,2,-4,7200,3,2,23.73,,0,0,0,5918
off,33,,1,22.37,red,,15,0,3,9,4,11,10,2,6,,,,2,-1073,7200,3,2,22.33,,0,0,0,5458
off,34,,1,38.61,blue,,56,1,2,6,32,24,5,9,9,,,,2,7200,-7897,7,5,38.59,,0,0,0,8795
off,35,,1,24.63,red,,16,3,4,10,6,10,7,6,8,,,,2,-2618,7200,3,3,24.6,,0,0,0,6110
off,36,,1,24.89,blue,,21,5,9,12,10,11,5,9,8,,,,2,7200,-1301,4,3,24.86,,0,0,0,5951
off,37,,1,40.33,red,,61,3,6,10,12,49,10,8,10,,,,2,-6417,7200,7,5,40.33,,0,0,0,8842
off,38,,1,25.62,red,,25,3,8,12,12,13,8,6,5,,,,2,-1353,7200,3,2,25.58,,0,0,0,6497
off,39,,1,35.92,red,,50,3,7,13,24,26,9,5,7,,,,2,-2658,7200,5,4,35.9,,0,0,0,8400
off,40,,1,24.15,red,,17,3,5,9,9,8,8,4,10,,,,2,-1100,7200,3,3,24.1,,0,0,0,6132
off,41,,1,25.9,red,,26,5,9,18,6,20,9,3,8,,,,2,-1686,7200,4,3,25.87,,0,0,0,5913
off,42,,1,27.12,blue,,24,3,4,9,16,8,4,9,9,,,,2,7200,-74,4,3,27.09,,0,0,0,6165
off,43,,1,24.9,red,,11,1,4,7,3,8,10,5,9,,,,2,-538,7200,4,3,24.87,,0,0,0,6027
off,44,,1,24.34,red,,25,6,8,18,11,14,9,5,10,,,,2,-3786,7200,3,3,24.32,,0,0,0,5484
off,45,,1,23.63,red,,22,5,11,17,3,19,9,5,10,,,,2,-2634,7200,4,3,23.59,,0,0,0,4906
off,46,,1,27.17,blue,,25,5,7,15,12,13,8,9,5,,,,3,7200,-1159,4,3,27.13,,0,0,0,5983
off,47,,1,23.69,red,,17,3,6,12,5,12,9,4,7,,,,2,-501,7200,4,3,23.59,,0,0,0,5516
off,48,,1,27.62,red,,27,2,4,11,8,19,9,5,7,,,,2,-529,7200,5,3,27.59,,0,0,0,6183
off,49,,1,25.12,blue,,16,3,7,10,6,10,6,7,7,,,,2,7200,-1577,3,2,25.08,,0,0,0,5965
off,50,,1,27.38,red,,28,2,9,13,5,23,10,4,4,,,,2,-307,7200,4,3,27.35,,0,0,0,5495
off,51,,1,25.12,red,,27,5,13,18,6,21,9,4,5,,,,2,-780,7200,5,3,25.08,,0,0,0,5296
off,52,,1,24.08,red,,21,3,8,14,5,16,8,4,5,,,,2,-3366,7200,4,3,24.06,,0,0,0,4822
off,53,,1,30.35,red,,37,4,10,19,12,25,9,5,6,,,,2,-270,7200,4,4,30.33,,0,0,0,5304
off,54,,1,23.62,red,,19,3,7,15,9,10,7,6,10,,,,2,-2626,7200,3,3,23.59,,0,0,0,4843
off,55,,1,33.84,blue,,34,1,5,8,14,20,7,10,10,,,,2,7200,-3175,6,4,33.83,,0,0,0,6724
off,56,,1,22.7,red,,12,2,7,8,2,10,9,4,11,,,,2,-457,7200,3,2,22.64,,0,0,0,4507
off,57,,1,24.9,red,,26,4,9,15,9,17,10,4,7,,,,2,-538,7200,5,3,24.87,,0,0,0,4738
off,58,,1,29.37,red,,33,5,8,16,8,25,10,5,9,,,,2,-2040,7200,5,4,28.91,,0,0,0,5609
off,59,,1,23.08,red,,25,4,9,19,7,18,9,3,6,,,,2,-524,7200,3,3,23.06,,0,0,0,4560
off,60,,1,22.83,red,,20,5,11,17,7,13,9,3,7,,,,2,-33,7200,3,2,22.72,,0,0,0,5105
off,61,,1,22.14,red,,25,6,13,18,4,21,9,3,11,,,,2,-1233,7200,5,2,22.08,,0,0,0,4758
off,62,,1,25.83,red,,20,3,10,12,3,17,9,6,5,,,,2,-693,7200,3,2,25.75,,0,0,0,5440
off,63,,1,24.41,red,,17,2,3,11,1,16,9,6,10,,,,2,-2156,7200,5,3,24.37,,0,0,0,5721
off,64,,1,25.96,red,,22,2,8,13,7,15,9,5,9,,,,2,-844,7200,4,3,25.91,,0,0,0,5862
off,65,,1,30.38,red,,29,2,7,16,2,27,9,5,8,,,,2,-3289,7200,5,4,30.36,,0,0,0,6676
off,66,,1,24.41,blue,,14,3,6,12,8,6,5,9,9,,,,2,7200,-2156,4,3,24.37,,0,0,0,5452
off,67,,1,27.11,red,,26,3,8,14,13,13,9,6,11,,,,2,-66,7200,5,3,27.08,,0,0,0,5823
off,68,,1,23.7,red,,20,1,5,13,9,11,9,3,7,,,,2,-542,7200,4,2,23.65,,0,0,0,5495
off,69,,1,23.72,red,,15,1,5,9,0,15,10,3,6,,,,2,-562,7200,4,2,23.67,,0,0,0,5727
off,70,,1,27.58,red,,28,3,11,18,6,22,9,7,8,,,,2,-2471,7200,5,4,27.56,,0,0,0,5952
off,71,,1,22.58,blue,,12,3,5,11,3,9,6,9,13,,,,2,7200,-1080,4,3,22.56,,0,0,0,5143
off,72,,1,26.64,blue,,18,1,8,12,6,12,6,8,7,,,,2,7200,-633,4,3,26.62,,0,0,0,5954
off,73,,1,22.21,blue,,14,1,6,13,7,7,4,9,11,,,,2,7200,-265,4,2,21.91,,0,0,0,5161
off,74,,1,23.23,red,,23,7,11,18,5,18,8,5,8,,,,2,-1162,7200,3,2,23.17,,0,0,0,5170
off,75,,1,21.64,red,,17,1,5,13,7,10,8,4,10,,,,2,-38,7200,4,2,21.59,,0,0,0,5282
off,76,,1,23.63,blue,,13,1,6,10,6,7,7,8,9,,,,2,7200,-1745,3,2,23.59,,0,0,0,5234
off,77,,1,23.58,red,,19,2,4,14,2,17,10,3,5,,,,2,-2574,7200,3,3,23.56,,0,0,0,5170
off,78,,1,30.11,red,,39,4,8,17,19,20,8,7,9,,,,2,-86,7200,4,3,30.09,,0,0,0,6332
off,79,,1,25.65,red,,27,4,8,18,7,20,10,4,10,,,,2,-1385,7200,5,3,25.61,,0,0,0,5570
off,80,,1,24.83,red,,18,2,4,11,7,11,10,2,6,,,,2,-1231,7200,3,2,24.8,,0,0,0,5824
off,81,,1,32.33,red,,44,4,9,19,12,32,10,8,6,,,,3,-49,7200,5,4,32.32,,0,0,0,7350
off,82,,1,29.43,red,,25,1,4,6,8,17,10,7,11,,,,3,-931,7200,5,4,29.4,,0,0,0,6424
off,83,,1,24.9,red,,26,4,8,14,9,17,9,4,9,,,,2,-538,7200,4,3,24.87,,0,0,0,5699
off,84,,1,25.96,red,,22,4,7,13,4,18,10,4,9,,,,2,-844,7200,4,3,25.91,,0,0,0,5448
off,85,,1,22.38,red,,10,0,0,6,2,8,9,4,11,,,,2,-507,7200,3,2,22.25,,0,0,0,5001
off,86,,1,26.12,blue,,23,3,6,11,10,13,6,8,3,,,,2,7200,-119,3,2,26.09,,0,0,0,5785
off,87,,1,29.88,red,,33,2,11,15,13,20,9,6,7,,,,2,-5325,7200,5,4,29.87,,0,0,0,6209
off,88,,1,27.11,red,,28,3,5,11,10,18,9,6,8,,,,2,-66,7200,4,3,27.08,,0,0,0,6042
off,89,,1,24.55,red,,26,2,8,17,5,21,9,4,6,,,,2,-894,7200,3,3,24.53,,0,0,0,5697
off,90,,1,25.9,red,,23,3,5,12,3,20,10,4,7,,,,2,-1686,7200,4,3,25.87,,0,0,0,6038
off,91,,1,22.23,red,,20,4,6,12,5,15,9,4,11,,,,2,-857,7200,4,2,22.17,,0,0,0,5384
off,92,,1,24.27,blue,,21,3,6,16,9,12,8,9,8,,,,2,7200,-519,5,3,24.18,,0,0,0,6029
off,93,,1,24.69,red,,19,1,2,9,8,11,8,6,6,,,,2,-302,7200,3,2,24.65,,0,0,0,5828
off,94,,1,28.35,red,,28,1,6,13,7,21,10,4,5,,,,2,-1220,7200,4,3,28.33,,0,0,0,6170
off,95,,1,26.9,red,,22,3,6,11,7,15,11,4,8,26.43,,,2,-2911,7200,4,3,26.87,,0,0,0,6461
off,96,,1,34.11,blue,,44,2,5,10,20,24,6,9,11,,,,2,7200,-3416,5,4,34.09,,0,0,0,7057
off,97,,1,31.82,red,,39,6,10,17,14,25,9,6,8,,,,2,-399,7200,5,4,31.81,,0,0,0,6910
off,98,,1,23.41,red,,19,3,8,12,3,16,10,3,9,,,,2,-813,7200,4,3,23.37,,0,0,0,5623
off,99,,1,25.36,blue,,20,4,7,12,5,15,7,7,8,,,,2,7200,-206,4,3,25.28,,0,0,0,5870
off,100,,1,31.15,blue,,25,1,7,10,14,11,5,8,8,,,,2,7200,-7044,4,4,31.13,,0,0,0,6719
off,101,,1,31.09,red,,34,1,5,12,18,16,10,5,9,,,,2,-6962,7200,5,4,31.08,,0,0,0,6978
off,102,,1,24.62,red,,20,6,11,15,8,12,9,6,10,,,,2,-968,7200,3,3,24.58,,0,0,0,5512
off,103,,1,24.15,red,,19,2,4,12,12,7,9,5,7,,,,2,-419,7200,5,2,24.12,,0,0,0,5479
off,104,,1,22.7,red,,16,2,3,11,5,11,9,4,9,,,,2,-457,7200,3,2,22.64,,0,0,0,5220
off,105,,1,25.08,blue,,20,4,8,10,11,9,5,9,8,,,,2,7200,-3275,4,3,25.05,,0,0,0,5433
off,106,,1,22.63,red,,15,4,9,12,5,10,7,6,11,,,,2,-371,7200,3,2,22.58,,0,0,0,4894
off,107,,1,28.34,red,,32,5,7,12,14,18,10,8,7,,,,3,-1212,7200,5,4,28.32,,0,0,0,6065
off,108,,1,25.05,red,,19,3,8,13,8,11,9,6,8,,,,2,-1501,7200,3,3,25.03,,0,0,0,5590
off,109,,1,27.11,red,,20,3,7,12,10,10,9,6,7,,,,2,-1104,7200,5,3,27.08,,0,0,0,6428
off,110,,1,30.93,red,,40,3,10,15,10,30,9,4,9,,,,2,-2294,7200,5,4,30.9,,0,0,0,6652
off,111,,1,24.32,red,,19,2,7,13,14,5,8,5,7,,,,2,-578,7200,3,2,24.23,,0,0,0,5243
off,112,,1,28.18,red,,32,3,4,13,13,19,9,6,9,,,,2,-2235,7200,5,3,28.15,,0,0,0,5736
