config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
off,1,b1,blue,top,戰士,embercoil,,0,3,2,0,9106,18320,900,37.2,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,b2,blue,jungle,戰士,cinderfist,,0,1,2,1,7817,12129,931,38.5,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,b3,blue,mid,法師,auralith,,0,3,1,0,12108,12430,900,37.2,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,b4,blue,adc,射手,liangzicz,,0,0,3,0,8997,9853,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,b5,blue,sup,坦克,tixue,,0,0,4,1,4559,13266,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r1,red,top,戰士,embercoil,,1,6,1,0,10487,18917,1908,78.8,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r2,red,jungle,戰士,cinderfist,,1,2,1,2,9479,11927,1405,58,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r3,red,mid,法師,auralith,,1,3,1,1,9688,10867,900,37.2,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r4,red,adc,射手,liangzicz,,1,1,2,1,9408,7270,300,12.4,,,,0,,,,,,,,,,,,,,,,,,0,,
off,1,r5,red,sup,坦克,tixue,,1,0,2,1,5959,13669,0,0,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,b1,blue,top,戰士,cinderfist,,0,2,2,0,11461,30040,600,18.5,,,,0,,,,,,,,,,,,,,,,,,0,,
off,2,b2,blue,jungle,戰士,chichuan,,0,0,3,0,7818,16597,803,24.8,,,,0,,,,,,,,,,,,,,,,,,0,,
