config,seed,strategySide,over,duration_min,winner,strategyWon,kills,kills10,kills15,kills20,bK,rK,towers_blue_down,towers_red_down,towers20,blue_lane_cleared_min,red_lane_cleared_min,stall_min,guards_down_end,blue_nexus_hp_end,red_nexus_hp_end,dragons,barons,lastTowerFall_min,team_t3_20,rejected,violations,conservationFails,wallMs
standard,1,,1,24.68,blue,,22,2,5,9,8,14,6,7,9,,,,2,7200,-283,3,2,24.63,11,0,0,0,19624
standard,2,,1,24.88,red,,33,3,8,14,13,20,11,7,10,23.51,,,3,-519,7200,4,3,24.85,11.5,0,0,0,19688
standard,3,,1,24.9,red,,37,3,6,13,16,21,10,8,11,,,,3,-2079,7200,4,3,23.73,11.5,0,0,0,19582
standard,4,,1,25.18,blue,,40,0,4,15,19,21,6,10,9,,,,2,7200,-839,5,2,25.13,11.5,0,0,0,19320
standard,5,,1,27.62,blue,,45,1,6,16,11,34,9,9,10,,,,4,7200,-2731,5,4,23.27,12,0,0,0,19643
standard,6,,1,22.17,red,,32,3,11,22,13,19,10,7,12,,,,2,-266,7200,4,2,21.05,12,0,0,0,17211
standard,7,,1,27.11,blue,,49,3,7,16,18,31,6,9,10,,,,2,7200,-1104,4,3,27.08,12.5,0,0,0,19805
standard,8,,1,25.11,red,,29,0,3,13,13,16,11,10,9,22.82,,,4,-770,7200,4,3,25.08,11,0,0,0,19878
standard,9,,1,21.86,red,,29,3,6,23,9,20,10,6,14,,,,3,-344,7200,4,2,21.81,13,0,0,0,9499
standard,10,,1,24.41,red,,35,3,8,17,4,31,11,6,12,23.48,,,3,-1428,7200,4,3,23.71,12.5,0,0,0,9969
standard,11,,1,24.43,blue,,31,2,6,16,20,11,5,10,7,,,,2,7200,-740,3,2,24.39,11.5,0,0,0,9839
standard,12,,1,23.19,red,,35,3,10,19,23,12,8,7,10,,,,2,-1117,7200,4,2,23.13,11.5,0,0,0,9495
standard,13,,1,21.57,red,,22,2,3,18,5,17,9,6,12,,,,2,-663,7200,3,3,21.53,13,0,0,0,8837
standard,14,,1,20.94,blue,,17,3,5,14,13,4,2,8,8,,,,2,7200,-1476,3,2,20.9,11,0,0,0,8800
standard,15,,1,22.37,red,,22,3,3,14,2,20,9,4,10,,,,2,-39,7200,4,2,22.33,12.5,0,0,0,8772
standard,16,,1,27.37,blue,,40,3,8,13,25,15,5,10,12,,,,2,7200,-2436,4,3,26.92,11,0,0,0,11582
standard,17,,1,20.73,blue,,12,0,3,9,9,3,4,9,10,,,,2,7200,-322,3,2,20.65,11,0,0,0,8969
standard,18,,1,22.33,blue,,18,2,3,13,4,14,7,8,13,,,,2,7200,-450,3,2,20.58,12,0,0,0,9544
standard,19,,1,21.92,blue,,16,1,3,12,13,3,4,9,9,,,,2,7200,-150,3,3,21.89,11.5,0,0,0,9008
standard,20,,0,60,,,220,2,4,11,109,111,11,11,17,28.68,29.89,30.11,4,7200,7200,9,9,29.89,12,0,0,0,20038
standard,21,,1,23.56,red,,22,3,5,12,4,18,10,9,8,,,,4,-1141,7200,5,3,23.18,11.5,0,0,0,10072
standard,22,,1,21.23,blue,,26,4,11,24,17,9,4,10,14,,,,2,7200,-301,3,2,19.43,13,0,0,0,8705
standard,23,,1,24.67,red,,37,3,7,19,23,14,10,5,10,,,,2,-1019,7200,4,3,22.37,12,0,0,0,9902
standard,24,,1,23.13,red,,22,5,9,15,7,15,9,7,11,,,,4,-1050,7200,3,2,23.09,12.5,0,0,0,9778
standard,25,,1,20.73,red,,19,0,5,15,4,15,10,3,12,,,,2,-216,7200,4,2,20.22,12.5,0,0,0,8110
standard,26,,1,41.38,blue,,116,1,6,16,55,61,8,11,11,,39.26,,2,7200,-95,7,6,39.26,12,0,0,0,14796
standard,27,,1,22.63,blue,,23,1,7,14,12,11,8,9,13,,,,2,7200,-370,3,2,22.58,12,0,0,0,9360
standard,28,,1,25.4,red,,33,4,8,15,10,23,10,5,11,,,,2,-1932,7200,4,3,25.37,12.5,0,0,0,9502
standard,29,,1,25.93,red,,40,2,3,13,15,25,8,6,9,,,,2,-655,7200,4,3,25.91,12,0,0,0,9623
standard,30,,1,20.56,red,,15,2,5,14,1,14,9,4,10,,,,2,-343,7200,3,2,20.54,13,0,0,0,8069
standard,31,,1,24.2,blue,,27,1,4,11,13,14,8,9,7,,,,3,7200,-1163,5,2,24.15,12,0,0,0,9641
standard,32,,1,28.17,red,,54,3,6,19,19,35,9,6,9,,,,2,-2216,7200,4,3,28.13,11.5,0,0,0,10420
standard,33,,1,20.24,red,,18,2,4,17,5,13,11,3,12,19.9,,,2,-237,7200,3,2,20.15,11.5,0,0,0,8709
standard,34,,1,23.83,red,,38,4,12,22,22,16,9,5,8,,,,2,-13,7200,3,2,23.73,12.5,0,0,0,9725
standard,35,,1,24.35,red,,27,1,5,17,14,13,9,7,7,,,,3,-617,7200,3,2,24.26,11,0,0,0,10087
standard,36,,1,22.23,red,,23,0,4,16,15,8,7,5,11,,,,2,-356,7200,3,2,22.17,11.5,0,0,0,9326
standard,37,,1,22.84,blue,,25,0,2,13,8,17,7,9,11,,,,2,7200,-1221,3,3,22.8,11,0,0,0,9893
standard,38,,1,22.27,blue,,20,4,8,12,11,9,4,10,11,,,,2,7200,-905,3,2,22.2,11,0,0,0,9872
standard,39,,1,22.64,red,,26,2,7,17,11,15,9,8,8,,,,4,-393,7200,3,2,22.6,11,0,0,0,10246
standard,40,,1,20.93,red,,16,0,6,15,4,12,8,3,9,,,,2,-649,7200,3,2,20.87,11.5,0,0,0,9408
standard,41,,1,27.9,red,,42,0,2,17,24,18,10,7,8,,,,2,-792,7200,4,3,27.88,12,0,0,0,10721
standard,42,,1,27.38,blue,,41,3,6,11,17,24,8,10,7,,,,2,7200,-4597,4,3,26.64,11,0,0,0,9807
standard,43,,1,24.36,red,,34,1,8,13,11,23,10,4,7,,,,2,-1372,7200,3,2,21.92,12,0,0,0,9154
standard,44,,1,22.73,red,,26,1,5,15,12,14,9,5,12,,,,2,-490,7200,4,2,22.67,11.5,0,0,0,8957
standard,45,,1,23.14,blue,,26,1,6,14,13,13,7,7,11,,,,2,7200,-462,3,3,23.08,10.5,0,0,0,8788
standard,46,,1,29.09,blue,,58,3,6,17,32,26,6,9,6,,,,2,7200,-1430,4,4,29.08,11,0,0,0,9892
standard,47,,1,23.92,red,,28,1,6,13,6,22,10,5,9,,,,2,-1484,7200,4,2,23.88,12,0,0,0,8571
standard,48,,1,20.88,red,,20,3,6,15,7,13,10,5,13,,,,2,-103,7200,3,2,20.72,11,0,0,0,7610
standard,49,,1,24.36,blue,,34,1,6,17,20,14,6,8,9,,,,2,7200,-626,3,2,23.08,12,0,0,0,8489
standard,50,,1,25.86,red,,42,3,9,19,10,32,9,6,9,,,,2,-2517,7200,4,3,25.82,11.5,0,0,0,8735
standard,51,,1,20.15,red,,13,2,5,12,6,7,7,5,11,,,,2,-127,7200,3,2,20.11,11,0,0,0,7348
standard,52,,1,25.26,blue,,37,4,8,17,18,19,6,10,7,,,,2,7200,-103,3,3,25.18,11.5,0,0,0,8788
standard,53,,1,20.44,red,,17,0,4,17,3,14,10,4,12,,,,2,-595,7200,3,2,20.38,12.5,0,0,0,7474
standard,54,,1,26.68,red,,47,1,9,22,12,35,10,8,9,,,,2,-660,7200,5,3,23.98,11.5,0,0,0,9238
standard,55,,1,19.29,red,,9,1,5,,3,6,8,3,,,,,2,-517,7200,2,2,19.18,0,0,0,0,7664
standard,56,,1,23.93,red,,31,2,4,12,12,19,9,6,9,,,,2,-829,7200,4,3,23.88,11.5,0,0,0,8148
standard,57,,1,29.93,red,,71,1,6,18,23,48,11,10,9,29.07,,,4,-2800,7200,6,4,29.07,13,0,0,0,9677
standard,58,,1,22.34,red,,21,2,8,14,4,17,11,4,10,21.21,,,2,-737,7200,4,3,22.32,13,0,0,0,8002
standard,59,,1,22.73,blue,,22,1,3,12,10,12,5,9,12,,,,2,7200,-1036,3,2,22.66,11.5,0,0,0,8145
standard,60,,1,27.64,red,,40,3,10,17,11,29,10,11,9,,27.58,,4,-548,7200,5,4,27.61,11.5,0,0,0,9572
standard,61,,1,25.38,blue,,26,2,4,13,5,21,7,11,9,,24.64,,2,7200,-2729,4,3,25.34,12,0,0,0,9010
standard,62,,1,23.08,red,,25,2,2,13,8,17,9,5,11,,,,2,-1800,7200,3,3,23.05,11.5,0,0,0,8212
standard,63,,1,24.13,red,,31,4,7,17,7,24,10,5,8,,,,2,-1766,7200,4,3,24.08,12.5,0,0,0,8135
standard,64,,1,21.41,blue,,18,1,7,16,10,8,5,8,11,,,,2,7200,-85,3,2,21.27,12.5,0,0,0,7944
standard,65,,1,20.18,red,,14,4,10,14,5,9,10,2,10,,,,2,-127,7200,2,2,20.08,11.5,0,0,0,7122
standard,66,,1,22.96,red,,28,1,8,19,9,19,11,6,14,20.86,,,3,-794,7200,4,2,20.86,12.5,0,0,0,7886
standard,67,,1,21.83,blue,,18,2,4,16,7,11,6,10,13,,,,2,7200,-243,4,2,21.7,11.5,0,0,0,7555
standard,68,,1,23.63,blue,,26,4,6,15,13,13,8,8,12,,,,3,7200,-1096,4,3,23.58,12.5,0,0,0,7945
standard,69,,1,24.81,red,,25,1,5,11,15,10,7,7,8,,,,2,-407,7200,3,2,24.73,11.5,0,0,0,8436
standard,70,,1,22.73,blue,,24,2,3,13,14,10,8,9,14,,,,3,7200,-490,3,2,22.67,11,0,0,0,7772
standard,71,,1,23.2,red,,24,1,4,13,17,7,10,9,15,,,,4,-1127,7200,4,2,22.69,11.5,0,0,0,8017
standard,72,,1,23.22,blue,,22,1,3,11,10,12,6,10,10,,,,2,7200,-1151,3,2,23.16,11.5,0,0,0,8995
standard,73,,1,21.17,red,,24,3,6,20,4,20,9,8,15,,,,3,-45,7200,4,3,21.1,13.5,0,0,0,7356
standard,74,,0,60,,,221,1,6,17,127,94,11,11,7,24.48,25.2,34.8,4,7200,7200,11,9,31.66,11.5,0,0,0,18386
standard,75,,1,23.33,red,,30,2,8,18,7,23,10,7,15,,,,2,-71,7200,3,2,22.7,12.5,0,0,0,8263
standard,76,,1,24.33,blue,,33,1,9,22,19,14,7,8,8,,,,2,7200,-587,3,2,24.23,12.5,0,0,0,8852
standard,77,,1,25.79,red,,46,3,5,16,16,30,11,5,10,24.61,,,2,-658,7200,4,3,24.61,13,0,0,0,9421
standard,78,,1,22.14,blue,,22,4,5,13,12,10,7,10,9,,,,2,7200,-740,4,2,22.13,12,0,0,0,8414
standard,79,,1,21.86,red,,28,3,8,18,6,22,10,6,13,,,,2,-277,7200,4,2,21.73,13,0,0,0,8194
standard,80,,1,23.33,blue,,21,4,5,11,6,15,6,8,9,,,,2,7200,-2190,3,3,23.31,12,0,0,0,9480
standard,81,,1,26.11,red,,31,0,2,11,5,26,10,6,8,,,,2,-111,7200,4,3,26.08,10,0,0,0,9501
standard,82,,1,24.05,blue,,44,3,8,23,24,20,8,10,13,,,,3,7200,-1807,4,3,21.85,12.5,0,0,0,9239
standard,83,,1,23.08,red,,29,2,7,17,8,21,10,6,12,,,,2,-511,7200,4,3,20.38,12,0,0,0,9292
standard,84,,1,26.1,blue,,43,0,6,19,14,29,9,11,6,,22.92,,3,7200,-101,4,3,25.32,12,0,0,0,10008
standard,85,,1,25.43,red,,48,2,7,23,19,29,9,7,10,,,,3,-1124,7200,4,3,25.38,13.5,0,0,0,9594
standard,86,,1,28.29,red,,52,0,5,15,25,27,9,8,9,,,,3,-1147,7200,4,3,28.23,11.5,0,0,0,10637
standard,87,,1,25.91,red,,39,1,7,16,22,17,10,7,9,,,,2,-2584,7200,4,3,25.88,11,0,0,0,10238
standard,88,,1,21.72,red,,28,1,9,21,5,23,8,8,11,,,,2,-66,7200,3,2,21.5,12.5,0,0,0,8390
standard,89,,1,24.12,red,,38,3,8,17,9,29,9,5,9,,,,2,-379,7200,4,3,22.29,12.5,0,0,0,8613
standard,90,,1,25.79,red,,50,5,7,23,16,34,10,5,6,,,,2,-658,7200,4,3,25.72,11.5,0,0,0,8608
standard,91,,1,23.83,red,,42,4,7,24,18,24,9,10,7,,,,4,-716,7200,3,2,23.79,12,0,0,0,8109
standard,92,,1,24.38,red,,37,2,5,19,15,22,10,7,10,,,,2,-2110,7200,4,3,24.33,12,0,0,0,8134
standard,93,,1,22.31,red,,30,2,4,17,8,22,9,7,13,,,,2,-665,7200,4,3,22.25,11.5,0,0,0,7802
standard,94,,1,25.43,red,,50,4,10,25,16,34,11,8,10,23.67,,,2,-1124,7200,5,3,25.38,13,0,0,0,7852
standard,95,,1,20.46,red,,20,1,7,20,7,13,7,7,12,,,,3,-976,7200,3,2,20.39,11.5,0,0,0,6950
standard,96,,1,21.13,blue,,22,4,7,17,14,8,5,11,11,,21.13,,2,7200,-8,3,3,21.13,11,0,0,0,7389
standard,97,,1,22.2,blue,,31,2,6,21,21,10,3,10,11,,,,2,7200,-809,3,2,22.13,11.5,0,0,0,7535
standard,98,,1,25.4,red,,46,2,8,17,20,26,10,6,10,,,,2,-1930,7200,5,3,25.36,12,0,0,0,7976
standard,99,,1,24.2,blue,,25,0,3,10,12,13,5,9,9,,,,2,7200,-1163,3,2,24.15,11,0,0,0,7980
standard,100,,1,24.44,red,,32,2,7,19,17,15,10,10,12,,,,4,-25,7200,3,2,24.39,11,0,0,0,8237
standard,101,,1,23.63,blue,,29,1,7,16,19,10,6,10,12,,,,3,7200,-457,3,2,22,11.5,0,0,0,8003
standard,102,,1,28.18,blue,,46,1,5,12,19,27,7,11,8,,25.44,,2,7200,-1043,5,4,25.6,11,0,0,0,9138
standard,103,,1,23.62,blue,,33,6,7,20,15,18,8,9,10,,,,4,7200,-1719,3,2,22.2,12,0,0,0,7651
standard,104,,1,21.44,blue,,16,2,5,14,7,9,6,8,11,,,,2,7200,-200,3,2,21.39,11.5,0,0,0,7667
standard,105,,1,22.47,red,,27,1,9,20,13,14,9,8,11,,,,3,-149,7200,3,2,22.4,12.5,0,0,0,7343
standard,106,,1,23.62,blue,,25,2,3,9,13,12,6,8,11,,,,2,7200,-1719,3,3,23.57,10.5,0,0,0,7779
standard,107,,1,22.84,red,,21,0,4,13,3,18,10,4,11,,,,2,-53,7200,3,2,21.47,12.5,0,0,0,7353
standard,108,,1,25.31,blue,,29,2,8,14,4,25,7,9,11,,,,2,7200,-154,4,3,25.23,12.5,0,0,0,8157
standard,109,,1,22.84,red,,19,3,6,15,16,3,10,8,11,,,,2,-53,7200,4,2,22.78,13,0,0,0,7725
standard,110,,1,21.84,blue,,22,4,5,18,9,13,5,8,8,,,,2,7200,-1257,4,2,21.79,11.5,0,0,0,7356
standard,111,,1,22.2,blue,,22,1,5,19,9,13,6,7,10,,,,2,7200,-238,4,2,21.9,12.5,0,0,0,7520
standard,112,,1,24.37,blue,,38,0,5,21,16,22,8,10,13,,,,2,7200,-636,5,3,24.28,11.5,0,0,0,8306
standard,113,,1,32.8,red,,69,2,6,17,39,30,11,10,10,30.13,,,4,-365,7200,4,4,30.13,12.5,0,0,0,9929
standard,114,,1,24.81,blue,,28,2,8,16,15,13,6,9,11,,,,2,7200,-407,4,3,24.73,12.5,0,0,0,8418
standard,115,,1,23.43,red,,32,4,7,18,5,27,9,3,9,,,,2,-824,7200,3,3,23.37,12,0,0,0,7556
standard,116,,1,22.7,blue,,33,0,5,22,11,22,5,9,14,,,,2,7200,-456,3,2,19.98,11.5,0,0,0,7957
standard,117,,1,21.73,red,,20,2,7,14,6,14,10,5,13,,,,2,-606,7200,3,2,21.66,12.5,0,0,0,7557
standard,118,,1,22.13,blue,,29,5,7,21,11,18,6,9,13,,,,2,7200,-1222,3,2,22.08,13,0,0,0,7452
standard,119,,1,24.87,red,,35,2,4,12,11,24,10,5,7,,,,2,-6674,7200,4,3,24.65,12,0,0,0,8460
standard,120,,1,24.08,red,,25,3,5,14,10,15,10,6,8,,,,2,-1853,7200,3,3,23.09,12,0,0,0,8477
standard,121,,1,21.98,red,,22,2,8,16,6,16,9,5,11,,,,2,-1,7200,3,2,21.9,12.5,0,0,0,7610
standard,122,,1,21.22,red,,18,2,6,13,4,14,9,5,12,,,,2,-117,7200,4,3,21.15,11.5,0,0,0,7355
standard,123,,1,22.85,red,,24,0,4,17,13,11,10,8,8,,,,4,-1789,7200,3,2,22.35,12.5,0,0,0,8055
standard,124,,1,21.64,blue,,18,3,6,13,7,11,7,8,11,,,,2,7200,-38,3,2,21.59,11,0,0,0,7732
standard,125,,1,25.4,red,,37,0,4,15,18,19,10,5,10,,,,2,-1932,7200,4,3,25.37,11.5,0,0,0,8665
standard,126,,1,26.28,blue,,42,3,9,17,27,15,5,9,5,,,,2,7200,-251,4,2,26.21,12.5,0,0,0,8511
standard,127,,1,23.34,blue,,26,2,3,12,18,8,6,10,13,,,,2,7200,-81,4,2,23.24,10.5,0,0,0,8186
standard,128,,1,22.13,red,,21,2,6,15,8,13,9,5,10,,,,2,-728,7200,3,2,22.08,11.5,0,0,0,7996
standard,129,,1,22.86,blue,,31,3,6,18,21,10,6,10,11,,,,2,7200,-1805,3,2,22.81,12.5,0,0,0,7977
