config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
standard,1,b1,blue,top,戰士,embercoil,standard,1,1,0,0,19480,30579,10677,432.7,8.64,14.83,22.61,3,1,2,2,3,213,67,568,246,4063,7217,8918,6253,1505,570,,285,,304,,t3_shieldbreaker|t3_finalstring
standard,1,b2,blue,jungle,戰士,cinderfist,standard,1,0,1,0,8545,16255,9815,397.8,8.2,17.83,24.48,3,1,1,2,3,710,519,597,214,3810,5999,7997,6253,126,,,285,1028,304,,t3_shieldbreaker|t3_finalstring
standard,1,b3,blue,mid,法師,auralith,standard,1,4,6,1,15887,16686,12049,488.3,10.55,19.19,23.53,3,0,1,2,3,1390,163,532,449,3650,6063,8562,6253,864,570,285,285,,304,,t3_psyward
standard,1,b4,blue,adc,射手,liangzicz,standard,1,3,5,0,20770,10101,11014,446.4,9.36,17.84,22.68,3,1,1,2,3,376,174,279,233,3726,5854,8229,6253,817,570,,285,,304,,t3_shieldbreaker|t3_rendspear
standard,1,b5,blue,sup,坦克,tixue,standard,1,0,2,0,7604,21282,13305,539.2,7.23,13.39,18.28,4,1,2,3,4,746,237,356,1124,4646,7477,9856,6253,334,,,285,,304,2680,t3_calmveil|t3_thornmail
standard,1,r1,red,top,戰士,embercoil,standard,0,1,1,0,11246,27724,10710,434,8.11,19.32,22.12,3,1,1,2,3,633,210,521,159,3783,5740,8571,6253,1007,,,1045,,266,,t3_shieldbreaker|t3_finalstring
standard,1,r2,red,jungle,戰士,cinderfist,standard,0,2,0,0,13043,18448,11798,478.1,8.12,16.88,20.61,3,1,1,2,3,403,844,1615,398,4203,6324,9915,6253,323,1140,,95,1837,266,,t3_shieldbreaker|t3_finalstring
standard,1,r3,red,mid,法師,auralith,standard,0,5,1,1,22016,15570,12857,521.1,8.52,16.13,21.41,3,1,1,2,3,1035,846,786,776,4885,7346,10186,6253,1244,1710,142,570,,266,,t3_psyward
standard,1,r4,red,adc,射手,liangzicz,standard,0,5,6,0,19855,10303,11954,484.5,10.55,19.44,23.53,3,0,1,2,3,1424,394,612,154,3584,5294,7612,6253,712,,,570,,76,,t3_shieldbreaker|t3_rendspear
standard,1,r5,red,sup,坦克,tixue,standard,0,1,0,2,9126,21890,12267,497.1,6.98,13.71,16.81,4,1,2,3,4,597,690,490,667,4497,7470,10470,6253,285,570,142,570,,266,2383,t3_calmveil|t3_thornmail
standard,2,b1,blue,top,戰士,cinderfist,standard,0,0,2,2,13374,36050,10238,411.4,8.78,16.14,23.8,3,1,1,2,3,576,887,305,338,3726,6367,8305,6253,855,,285,665,,247,,t3_shieldbreaker|t3_finalstring
standard,2,b2,blue,jungle,戰士,chichuan,standard,0,2,1,1,9607,22249,11289,453.7,7.82,14.82,21.05,3,1,2,2,3,188,218,727,539,4418,6968,9277,6253,437,1140,,190,1010,247,,t3_shieldbreaker|t3_finalstring
standard,2,b3,blue,mid,法師,ronghuo,standard,0,4,9,1,14524,17261,11517,462.9,11.23,18.52,24.34,3,0,1,2,3,1466,330,418,867,3726,5930,8248,6253,798,570,285,190,,152,,t3_psyward
standard,2,b4,blue,adc,射手,leiting,standard,0,6,3,0,19734,12522,12778,513.5,9.42,18.78,21.62,3,1,1,2,3,449,309,1106,1997,3799,5689,9356,6253,956,1710,,190,,247,,t3_shieldbreaker|t3_rendspear
standard,2,b5,blue,sup,輔助,linghun,standard,0,1,5,2,4758,22602,13550,544.6,5.78,12.54,17.17,5,1,2,3,5,836,464,753,350,5136,7494,9983,6253,297,570,,665,,247,1950,t3_calmveil
standard,2,r1,red,top,戰士,cinderfist,standard,1,2,1,0,11967,25753,11677,469.3,7.32,15.1,21.88,3,1,1,2,3,427,1445,848,696,4227,6925,9148,6253,760,1140,,665,26,304,,t3_shieldbreaker|t3_finalstring
standard,2,r2,red,jungle,戰士,chichuan,standard,1,3,2,1,12553,16941,13379,537.7,7.85,14.05,19.98,4,1,2,3,4,457,381,267,929,4207,7131,9817,6253,549,570,285,427,1428,304,,t3_shieldbreaker|t3_finalstring
standard,2,r3,red,mid,法師,ronghuo,standard,1,3,5,0,23144,15171,12428,499.4,10.81,17.88,23.52,3,0,1,2,3,1522,266,272,1397,3782,6166,8722,6253,929,570,,665,,304,,t3_psyward
