config,itemId,tier,purchases,per_match
standard,bt_base,BOOTS,2000,10
standard,t1_hp_s,T1,1958,9.79
standard,t1_ad_l,T1,1856,9.28
standard,t1_ap_l,T1,1840,9.2
standard,t1_hp_l,T1,1812,9.06
standard,t1_ad_s,T1,1789,8.95
standard,t2_mail,T2,1299,6.5
standard,t1_ah,T1,1251,6.26
standard,t2_core,T2,1242,6.21
standard,t2_belt,T2,1221,6.11
standard,t1_as,T1,1009,5.05
standard,t1_ap_s,T1,993,4.97
standard,t2_sigil,T2,914,4.57
standard,t2_scope,T2,910,4.55
standard,t2_rend,T2,889,4.45
standard,t2_veil,T2,850,4.25
standard,t2_gale,T2,833,4.17
standard,st_blade,STARTER,796,3.98
standard,bt_swift,BOOTS,695,3.48
standard,t1_ar_s,T1,673,3.37
standard,t2_heart,T2,663,3.32
standard,t1_hsp,T1,656,3.28
standard,t2_halo,T2,633,3.17
standard,t3_wardaltar,T3,592,2.96
standard,bt_iron,BOOTS,570,2.85
standard,t1_mr_l,T1,497,2.49
standard,t3_unbroken,T3,467,2.34
standard,t3_calmveil,T3,435,2.17
standard,t3_starcrown,T3,424,2.12
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,t3_warbringer,T3,392,1.96
standard,bt_arcane,BOOTS,384,1.92
standard,t3_vowshield,T3,369,1.85
standard,t3_bulwark,T3,364,1.82
standard,t3_voidstaff,T3,356,1.78
standard,t2_rift,T2,353,1.77
standard,t3_stormfork,T3,349,1.75
standard,t1_crit,T1,339,1.7
standard,t3_shieldbreaker,T3,330,1.65
standard,bt_focus,BOOTS,300,1.5
standard,t2_echo,T2,287,1.44
standard,t1_ar_l,T1,286,1.43
standard,t3_bloodplate,T3,284,1.42
standard,t1_mr_s,T1,283,1.42
standard,t1_apen,T1,263,1.32
standard,t3_pierce,T3,240,1.2
standard,t1_mpen,T1,228,1.14
standard,t3_lifespring,T3,214,1.07
standard,t3_redemption,T3,200,1
standard,t3_shadowblade,T3,192,0.96
standard,t3_nightscythe,T3,188,0.94
standard,t3_frostcrown,T3,181,0.91
standard,t3_finalstring,T3,178,0.89
standard,t3_thornmail,T3,169,0.85
standard,t3_rendspear,T3,157,0.79
standard,t3_psyward,T3,109,0.55
standard,t2_scythe,T2,96,0.48
standard,bt_quiet,BOOTS,38,0.19
