config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
standard,1,b1,blue,top,戰士,embercoil,standard,0,0,8,0,16962,38103,11860,404.1,9.1,17.39,25.72,3,1,1,2,3,519,415,124,410,3669,5645,7754,6253,931,,,475,,95,,t3_shieldbreaker|t3_finalstring
standard,1,b2,blue,jungle,戰士,cinderfist,standard,0,1,7,1,11068,24898,12145,413.8,8.02,16.78,23.68,3,1,1,2,3,210,1275,395,745,4490,6755,8625,6253,462,570,285,,959,95,,t3_shieldbreaker|t3_finalstring
standard,1,b3,blue,mid,法師,auralith,standard,0,7,11,0,34950,24001,15318,521.9,10.44,18.93,23.46,4,0,1,2,4,1428,234,189,1268,3688,6044,8419,6253,931,1140,,,,95,,t3_psyward
standard,1,b4,blue,adc,射手,liangzicz,standard,0,11,10,0,41606,14163,16563,564.3,9.35,18.18,21.29,5,1,1,2,5,975,374,878,962,4325,6054,8828,6253,769,1710,,,,95,,t3_shieldbreaker|t3_rendspear
standard,1,b5,blue,sup,坦克,tixue,standard,0,0,8,0,6585,35043,13571,462.4,7.33,13.76,17.27,4,1,2,3,4,584,602,447,1791,4484,6802,9427,6253,174,,,475,,0,2525,t3_calmveil|t3_thornmail
standard,1,r1,red,top,戰士,embercoil,standard,1,5,3,2,21778,37741,16845,573.9,7.78,14.51,20.21,5,1,2,2,5,418,161,1944,1495,4268,7311,10294,6253,1567,570,285,1092,51,475,,t3_shieldbreaker|t3_finalstring
standard,1,r2,red,jungle,戰士,cinderfist,standard,1,11,2,3,31528,24383,20545,700,7.98,12.6,16.88,5,1,2,3,5,367,1085,1408,5244,4467,8785,12808,6253,370,3420,142,380,1766,475,,t3_shieldbreaker|t3_finalstring
standard,1,r3,red,mid,法師,auralith,standard,1,11,6,1,33027,20500,18149,618.4,10.88,20.02,22.12,5,0,1,1,5,1618,323,2195,1999,3878,6073,8695,6253,1111,570,,380,,380,,t3_psyward
standard,1,r4,red,adc,射手,liangzicz,standard,1,17,7,2,58140,14601,22494,766.4,8.93,15.22,19.33,5,1,1,3,5,376,1162,1274,6893,3726,6842,11754,6253,845,3420,142,617,,475,,t3_shieldbreaker|t3_rendspear
standard,1,r5,red,sup,坦克,tixue,standard,1,0,1,8,10941,27496,15931,542.8,6.95,12.98,17.32,5,1,2,3,5,454,368,789,2330,4654,7608,10769,6253,247,,855,380,14,475,2544,t3_calmveil|t3_thornmail
standard,2,b1,blue,top,戰士,cinderfist,standard,1,1,4,0,14805,31549,10169,416.6,8.95,16.5,23.87,3,1,1,2,3,548,982,396,568,3698,6462,8096,6253,931,570,,190,,152,,t3_shieldbreaker|t3_finalstring
standard,2,b2,blue,jungle,戰士,chichuan,standard,1,1,2,1,8057,19811,10791,442.1,8.74,14.23,23.08,3,1,2,2,3,688,42,400,760,3788,7092,8950,6253,421,570,285,190,1078,152,,t3_shieldbreaker|t3_finalstring
standard,2,b3,blue,mid,法師,ronghuo,standard,1,0,5,1,17046,15314,10558,432.6,10.75,18.52,,2,0,1,2,2,1409,196,304,1158,3669,6396,8334,6253,741,,285,902,,152,,t3_psyward
standard,2,b4,blue,adc,射手,leiting,standard,1,12,9,0,31860,13188,16182,663,9.17,15.26,18.44,4,1,1,3,4,338,1438,917,2332,3688,7118,11697,6253,874,3990,,427,,152,,t3_shieldbreaker|t3_rendspear
standard,2,b5,blue,sup,輔助,linghun,standard,1,0,5,0,7884,19294,11713,479.9,6.62,12.03,16.95,4,1,2,3,4,484,945,695,752,4484,7125,9925,6253,262,,,1140,,152,2116,t3_calmveil
standard,2,r1,red,top,戰士,cinderfist,standard,0,5,0,2,20869,30237,13218,541.5,8.43,16.64,19.87,3,1,1,3,3,595,792,311,1818,3745,6272,9911,6253,950,1710,142,475,,380,,t3_shieldbreaker|t3_finalstring
standard,2,r2,red,jungle,戰士,chichuan,standard,0,6,2,1,16916,20297,14010,574,9.6,15.82,19.23,4,1,1,3,4,325,769,461,609,4075,6199,10011,6253,430,1710,,,1236,380,,t3_shieldbreaker|t3_finalstring
standard,2,r3,red,mid,法師,ronghuo,standard,0,6,8,3,21017,17855,14114,578.3,10.07,17.58,20.42,4,0,1,2,4,1707,313,1103,764,3967,6513,10503,6253,1114,1710,570,475,,380,,t3_psyward
standard,2,r4,red,adc,射手,leiting,standard,0,8,3,0,28476,10086,14887,609.9,7.96,15.83,23.45,4,1,1,2,4,164,1092,1205,1037,4464,6772,9755,6253,937,1710,,475,,380,,t3_shieldbreaker|t3_rendspear
standard,2,r5,red,sup,輔助,linghun,standard,0,0,1,7,9620,15118,12760,522.8,7.12,11.92,18.32,4,1,2,3,4,279,445,231,1379,4579,6925,9461,6253,215,,712,,,380,1900,t3_calmveil
standard,3,b1,blue,top,戰士,leimingcf,standard,1,1,1,0,16023,32819,11179,432.3,9.23,17.31,23.3,3,1,1,2,3,595,826,590,979,3745,6006,8590,6253,931,570,,475,,361,,t3_shieldbreaker|t3_finalstring
standard,3,b2,blue,jungle,戰士,jufeng,standard,1,1,2,0,8533,19932,11656,450.8,9.12,17.52,21.59,3,1,1,2,3,759,390,1719,1206,3859,5820,9069,6253,484,570,,237,1162,361,,t3_shieldbreaker|t3_finalstring
standard,3,b3,blue,mid,法師,gambler,standard,1,5,4,1,21360,18681,13995,541.2,10.58,17.47,23.28,3,0,1,2,3,1523,353,1068,1914,3783,5683,9398,6253,1121,1140,285,237,,361,,t3_psyward
standard,3,b4,blue,adc,射手,liangzi,standard,1,12,8,1,42669,14753,16954,655.6,9.5,17.1,20.55,4,1,1,2,4,240,182,1944,3103,3590,5982,9744,6253,927,1710,285,475,17,76,,t3_shieldbreaker|t3_rendspear
standard,3,b5,blue,sup,輔助,shiguang,standard,1,0,1,3,6830,17274,12081,467.2,6.64,12.42,19.34,4,1,2,3,4,285,380,599,1120,4585,6860,8779,6253,259,,,,,361,1904,t3_calmveil
standard,3,r1,red,top,戰士,leimingcf,standard,0,3,2,0,17885,30577,12355,477.8,7.06,16.21,23.23,3,1,1,2,3,648,1223,318,954,4448,6703,8318,6253,931,570,,285,51,228,,t3_shieldbreaker|t3_finalstring
standard,3,r2,red,jungle,戰士,jufeng,standard,0,0,4,1,10161,21305,10969,424.2,9.07,17.02,23.29,3,1,1,2,3,837,1526,424,39,3937,6356,8374,6253,199,,,285,1407,228,,t3_shieldbreaker|t3_finalstring
standard,3,r3,red,mid,法師,gambler,standard,0,4,6,1,16312,18596,12969,501.5,8.88,17.32,22.36,3,1,1,2,3,674,399,336,1368,4524,6899,9616,6253,950,1140,285,760,,228,,t3_psyward
standard,3,r4,red,adc,射手,liangzi,standard,0,7,5,0,30321,11170,13472,521,10.48,18.93,22.34,3,0,1,2,3,1272,184,1030,1672,3432,5864,8030,6253,693,570,,285,,228,,t3_shieldbreaker|t3_rendspear
standard,3,r5,red,sup,輔助,shiguang,standard,0,2,2,1,9763,17953,12884,498.2,5.93,12,14.03,4,1,3,3,4,1695,477,947,1923,5095,8477,10177,6253,228,1140,,285,,228,2042,t3_calmveil
standard,4,b1,blue,top,戰士,dadi2,standard,0,0,1,0,11266,23389,9508,424.1,9.07,18.56,,2,1,1,2,2,937,343,329,1227,4087,5873,8609,6253,1330,,,950,,76,,t3_shieldbreaker|t3_finalstring
standard,4,b2,blue,jungle,戰士,langwang,standard,0,1,2,0,5707,12705,9407,419.6,8.22,16.88,,2,1,1,2,2,734,1228,778,1177,3834,6408,8358,6253,364,570,,,1094,76,,t3_shieldbreaker|t3_finalstring
standard,4,b3,blue,mid,法師,ronghuo,standard,0,1,2,0,17213,15324,9544,425.8,10.53,18.39,,2,0,1,2,2,1708,240,416,534,3968,5840,8646,6253,1271,570,,475,,76,,t3_psyward
standard,4,b4,blue,adc,射手,shengyan,standard,0,5,5,0,21150,12751,11615,518.1,9.79,17.07,21.83,3,1,1,2,3,203,240,983,814,3553,5320,9133,6253,696,1140,,950,17,76,,t3_shieldbreaker|t3_rendspear
standard,4,b5,blue,sup,坦克,dadi,standard,0,0,5,1,3660,20624,10525,469.5,6.59,13.23,18.68,3,1,2,3,3,665,485,646,944,4565,6985,9626,6253,327,,285,475,17,76,2192,t3_calmveil|t3_thornmail
standard,4,r1,red,top,戰士,dadi2,standard,1,1,0,1,14009,24579,10806,482.1,8.38,15.38,21.54,3,1,1,2,3,351,723,130,376,4201,6253,8780,6253,1197,570,,285,,475,,t3_shieldbreaker|t3_finalstring
standard,4,r2,red,jungle,戰士,langwang,standard,1,4,0,0,9165,14840,12831,572.4,8.42,14.65,17.52,3,1,2,3,3,1029,191,416,1431,4129,7291,10916,6253,437,1710,,285,1755,475,,t3_shieldbreaker|t3_finalstring
standard,4,r3,red,mid,法師,ronghuo,standard,1,4,3,1,14609,13417,12250,546.5,10.86,17.07,21.76,3,0,1,2,3,1523,513,1071,650,3783,7013,10471,6253,1083,1710,285,760,,380,,t3_psyward
standard,4,r4,red,adc,射手,shengyan,standard,1,6,4,2,21049,9937,13317,594.1,7.62,17.83,20.48,3,1,1,2,3,233,643,1221,1937,4233,6323,9771,6253,715,1140,427,760,,475,,t3_shieldbreaker|t3_rendspear
standard,4,r5,red,sup,坦克,dadi,standard,1,0,0,3,6679,16894,11216,500.4,7.3,12.42,17.48,3,1,2,3,3,803,284,342,1236,4703,7224,9722,6253,405,,427,285,,475,1876,t3_calmveil|t3_thornmail
standard,5,b1,blue,top,戰士,ronggang,standard,0,2,4,1,15749,38140,12252,427.8,8.01,16.39,21.78,3,1,1,2,3,149,583,338,851,4429,6063,8638,6253,912,570,142,570,,190,,t3_shieldbreaker|t3_finalstring
standard,5,b2,blue,jungle,戰士,tielian,standard,0,1,4,1,8208,21304,11757,410.5,9.75,17.48,23.46,3,1,1,2,3,638,3220,600,1007,3738,6320,8250,6253,152,570,,95,1179,0,,t3_shieldbreaker|t3_finalstring
standard,5,b3,blue,mid,法師,gambler,standard,0,8,7,1,27813,21392,15869,554,9.25,16.14,22.82,4,1,1,2,4,389,143,285,1468,4239,6643,9265,6253,1111,1140,,570,,190,,t3_psyward
