key,zh,cat,value,winRate,fightUptime,returns,decidedRate,minutes,k,d,a,ganks,gankKills,gankRate,roams,invades,towerPushes,splitPush,focusSwap,castMissRate,wasteRate,csRate,retreats,chaseDropped,mlv,diveTry,diveOk
reflex,反應速度,操作,40,0.39285714285714285,0.8073885367601734,77.26666666666667,0.9333333333333333,23.90027777777778,12.766666666666667,14.766666666666667,5.516666666666667,26.433333333333334,0.4666666666666667,0.017654476670870115,0,0,31.583333333333332,0,0,0,0.03154942163530755,1,73.73333333333333,0.21666666666666667,9.083333333333334,2.05,0.55
reflex,反應速度,操作,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
reflex,反應速度,操作,90,0.5087719298245614,0.809604878651786,76.35,0.95,23.84319444444443,13.55,13.033333333333333,6.616666666666666,26.216666666666665,0.36666666666666664,0.013986013986013986,0,0,31.6,0,0,0,0,1,72.98333333333333,0.3,9.409999999999997,1.6833333333333333,0.7
accuracy,精準度,操作,40,0.4,0.8105369741085227,76.23333333333333,0.9166666666666666,23.950833333333332,13.166666666666666,14.3,7.25,26.383333333333333,0.45,0.017056222362602656,0,0,31.066666666666666,0,0,0,0.03736103057957496,0.9532212418844682,73.58333333333333,0.2833333333333333,9.000000000000002,1.7333333333333334,0.5333333333333333
accuracy,精準度,操作,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
accuracy,精準度,操作,90,0.5614035087719298,0.8125594231020855,73.93333333333334,0.95,23.434722222222227,12.116666666666667,13.1,6.083333333333333,25.95,0.3,0.011560693641618497,0,0,31.133333333333333,0,0,0,0,1,70.95,0.2833333333333333,9.283333333333331,1.65,0.6666666666666666
positioning,走位,操作,40,0.5087719298245614,0.8188903409554373,72.45,0.95,23.567361111111104,13.316666666666666,14.766666666666667,7.216666666666667,26.083333333333332,0.38333333333333336,0.014696485623003196,0,0,33.083333333333336,0,0,0,0.01595514270587669,1,64.38333333333334,0.45,9.553333333333333,1.6333333333333333,0.6166666666666667
positioning,走位,操作,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
positioning,走位,操作,90,0.39655172413793105,0.8079462874666425,74.76666666666667,0.9666666666666667,23.170972222222215,12.383333333333333,11.8,6.55,25.8,0.36666666666666664,0.01421188630490956,0,0,29.4,0,0,0,0,1,73.85,0.45,9.120000000000001,2.0166666666666666,0.5333333333333333
mapAware,視野意識,戰術,40,0.3620689655172414,0.8095012798008604,74.65,0.9666666666666667,23.45194444444444,12.7,13.583333333333334,5.966666666666667,23.766666666666666,0.36666666666666664,0.015427769985974754,0,0,33.25,0,0,0,0,1,69.43333333333334,0.2,9.139999999999995,1.7333333333333334,0.6833333333333333
mapAware,視野意識,戰術,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
mapAware,視野意識,戰術,90,0.5862068965517241,0.8152758783262342,71.08333333333333,0.9666666666666667,22.800555555555555,12.8,12,6.483333333333333,27.216666666666665,0.5666666666666667,0.020820575627679118,1.5833333333333333,0.03333333333333333,30.716666666666665,0,2.6333333333333333,0,0,1,66.75,0.4166666666666667,9.356666666666664,2.1666666666666665,0.43333333333333335
tacticalIQ,戰術理解,戰術,40,0.40350877192982454,0.8048501165677259,78.11666666666666,0.95,23.92041666666667,12.65,13.883333333333333,6.066666666666666,26.433333333333334,0.5,0.018915510718789406,0,0,33.55,0,0,0.04374520337682264,0,1,75.08333333333333,0.35,9.079999999999997,1.8833333333333333,0.5
tacticalIQ,戰術理解,戰術,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
tacticalIQ,戰術理解,戰術,90,0.5,0.8128573129374598,73.88333333333334,0.9666666666666667,23.27833333333333,12.05,13.016666666666667,6.333333333333333,25.583333333333332,0.3333333333333333,0.013029315960912053,0,0,31.75,0,0,0,0,1,70.35,0.38333333333333336,9.190000000000001,2.15,0.9
decision,決策力,戰術,40,0.6491228070175439,0.8208811988159468,70.43333333333334,0.95,23.675972222222224,13.283333333333333,15.716666666666667,6.05,24.966666666666665,0.48333333333333334,0.01935914552736983,0,0,34.333333333333336,0,0,0.033307513555383306,0,1,59.416666666666664,0.36666666666666664,9.343333333333334,2.033333333333333,0.6833333333333333
decision,決策力,戰術,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
decision,決策力,戰術,90,0.41818181818181815,0.8093109304778168,76.53333333333333,0.9166666666666666,23.499444444444446,12.4,12.516666666666667,6.75,27.05,0.4166666666666667,0.015403573629081947,0,0,30.35,0,2.3333333333333335,0,0,1,74.95,0.25,9.213333333333335,1.5666666666666667,0.6166666666666667
adaptability,應變力,戰術,40,0.4406779661016949,0.8142104590869758,71.08333333333333,0.9833333333333333,22.853055555555557,11.266666666666667,13.85,5.05,25.3,0.3,0.011857707509881422,0,0,32.46666666666667,0,0,0,0,1,65.43333333333334,0.3,8.830000000000002,2.3666666666666667,0.8
adaptability,應變力,戰術,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
adaptability,應變力,戰術,90,0.43859649122807015,0.811257417564573,73.75,0.95,23.146388888888882,12.766666666666667,12.333333333333334,6.45,25.566666666666666,0.25,0.009778357235984355,0,0,31.2,0,1.75,0,0,1,70.26666666666667,0.35,9.213333333333333,1.8833333333333333,0.8166666666666667
clutch,抗壓,心理,40,0.4666666666666667,0.8059593424770662,74.15,1,22.332777777777775,10.933333333333334,10.4,6.266666666666667,24.883333333333333,0.2833333333333333,0.011386470194239785,0,0,29.683333333333334,0,0,0.018867924528301883,0,1,74,0.31666666666666665,8.743333333333334,1.8166666666666667,0.6
clutch,抗壓,心理,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
clutch,抗壓,心理,90,0.45614035087719296,0.8141844582150898,72.71666666666667,0.95,23.30347222222222,12.216666666666667,14.233333333333333,6.25,25.833333333333332,0.48333333333333334,0.01870967741935484,0,0,34.18333333333333,0,0,0,0,1,67.08333333333333,0.2833333333333333,9.109999999999998,1.7166666666666666,0.6666666666666666
