key,zh,cat,value,winRate,fightUptime,returns,decidedRate,minutes,k,d,a,groupedFights,roamEpisodes,roamEngaged,roamPaid,roamMissed,roamEngageRate,roamPaidRate,roamDeclined,roamAborted,roamRetargeted,roamDeclineRate,roamLaneTop,roamLaneMid,roamLaneBot,retreatAtMean,tfRolls,tfGoRate,tfBehindRate,tfEpisodes,tfWonRate,tfPeakMean,tfHeadMean,tfSoloEntry,tfSoloRate,tfReadyAtEngage,tfArrivalSpread,tfCommit,tfHoldN,tfDecline,tfBadCommit,tfBadCommitRate,tfDeclineRate,tfExchange,dragonContests,baronContests,objSpawns,objRallies,objRallyRate,objRallyDelay,objHeadMean,objHeadPeak,objKills,objKillRate,objRolls,objRollGoRate,ganks,gankKills,gankRate,roams,invades,towerPushes,splitPush,focusSwap,castMissRate,wasteRate,csRate,retreats,chaseDropped,mlv,diveTry,diveOk
positioning,走位,操作,40,0.6333333333333333,0.8190842696703075,69.23333333333333,1,22.57555555555556,11.933333333333334,13.5,5.5,19.966666666666665,0,0,0,0,,,0,0,0,,0,0,0,0.2560239760920981,8.55,0.5399610136452241,0.08382066276803118,19.966666666666665,0.1010016694490818,3.739565943238732,0.8284279948813861,1.55,0.11397058823529413,1.1825980392156863,1.221830985915493,5.8,0,0,2.1666666666666665,0.3735632183908046,0,0.8839506172839506,4.05,2.683333333333333,7.55,2.933333333333333,0.38852097130242824,72.07670454545456,0.33127557374132716,2.241730279898219,3.3666666666666667,0.445916114790287,168.21666666666667,0.5953631229565045,25.216666666666665,0.38333333333333336,0.015201586252478522,0,0,33.68333333333333,7.566666666666666,0,0,0.01626253773493037,1,60.916666666666664,0.4166666666666667,9.133333333333333,1.9166666666666667,0.7833333333333333
positioning,走位,操作,70,0.5,0.8144241826262082,70.73333333333333,1,22.490277777777788,11.35,11.35,5.933333333333334,20.65,0,0,0,0,,,0,0,0,,0,0,0,0.29535548204799406,7.766666666666667,0.594420600858369,0.07081545064377683,20.65,0.10815173527037934,3.7772397094430996,0.8352745013277343,1.5166666666666666,0.11592356687898088,1.1936305732484076,1.1094890510948905,6.1,0.06666666666666667,0,2.35,0.3852459016393443,0,1,3.8,2.6,7.333333333333333,2.75,0.375,65.23636363636363,0.318085015027909,2.235449735449736,3.15,0.42954545454545456,168.75,0.6040493827160494,25.05,0.38333333333333336,0.015302727877578177,0,0,31.616666666666667,7.933333333333334,0,0,0,1,66.96666666666667,0.26666666666666666,9.066666666666666,1.5333333333333334,0.5333333333333333
positioning,走位,操作,90,0.49122807017543857,0.8086871794990835,77.68333333333334,0.95,23.879583333333326,12,12.483333333333333,6.083333333333333,22.483333333333334,0,0,0,0,,,0,0,0,,0,0,0,0.3228012223784696,7.983333333333333,0.6012526096033403,0.07724425887265136,22.483333333333334,0.1067457375833951,3.749444032616753,0.8650986139949863,2.2666666666666666,0.17042606516290726,1.0588972431077694,1.034375,5.533333333333333,0.06666666666666667,0,1.7,0.3072289156626506,0,0.9612817089452604,4.2,2.9,8,3,0.375,80.48333333333333,0.32534812176165806,2.219806763285024,3.466666666666667,0.43333333333333335,183.86666666666667,0.6023386511965192,26.633333333333333,0.4,0.015018773466833543,0,0,29.933333333333334,8.216666666666667,0,0,0,1,76.68333333333334,0.25,9.233333333333336,2.0833333333333335,0.9333333333333333
decision,決策力,戰術,40,0.5454545454545454,0.8237131182994123,72.01666666666667,0.9166666666666666,24.237083333333338,15.066666666666666,16.45,6.8,22.166666666666668,0,0,0,0,,,0,0,0,,0,0,0,0.2680444691062984,8.383333333333333,0.584493041749503,0.053677932405566606,22.166666666666668,0.10300751879699246,3.7496240601503756,0.8534901178749278,1.5666666666666667,0.11505507955936352,1.1897184822521418,1.388888888888889,5.583333333333333,0.13333333333333333,0,2.033333333333333,0.3641791044776119,0,0.9159067882472138,4.216666666666667,3.033333333333333,8.3,3.033333333333333,0.36546184738955817,75.30494505494507,0.33065268902132544,2.1554524361948952,3.8333333333333335,0.4618473895582329,184.25,0.6038896426956128,25.85,0.5166666666666667,0.019987105093488073,0,0,34.28333333333333,6.816666666666666,0,0.03667664670658677,0,1,60.28333333333333,0.2,9.690000000000001,2.7,0.9333333333333333
decision,決策力,戰術,70,0.5,0.8144241826262082,70.73333333333333,1,22.490277777777788,11.35,11.35,5.933333333333334,20.65,0,0,0,0,,,0,0,0,,0,0,0,0.29535548204799406,7.766666666666667,0.594420600858369,0.07081545064377683,20.65,0.10815173527037934,3.7772397094430996,0.8352745013277343,1.5166666666666666,0.11592356687898088,1.1936305732484076,1.1094890510948905,6.1,0.06666666666666667,0,2.35,0.3852459016393443,0,1,3.8,2.6,7.333333333333333,2.75,0.375,65.23636363636363,0.318085015027909,2.235449735449736,3.15,0.42954545454545456,168.75,0.6040493827160494,25.05,0.38333333333333336,0.015302727877578177,0,0,31.616666666666667,7.933333333333334,0,0,0,1,66.96666666666667,0.26666666666666666,9.066666666666666,1.5333333333333334,0.5333333333333333
decision,決策力,戰術,90,0.5084745762711864,0.8095868639737832,77,0.9833333333333333,23.797777777777778,12.55,12.983333333333333,6.766666666666667,21.95,0,0,0,0,,,0,0,0,,0,0,0,0.3151355369686874,8.833333333333334,0.5528301886792453,0.06792452830188679,21.95,0.10326499620349279,3.7767653758542146,0.8577073022691194,1.8,0.12587412587412586,1.1643356643356642,1.2843137254901962,6.816666666666666,0.016666666666666666,0,2.25,0.33007334963325186,0,0.9666238767650835,4.116666666666666,2.8666666666666667,7.733333333333333,2.783333333333333,0.35991379310344823,79.19161676646706,0.30644194931409857,2.206896551724138,3.2,0.41379310344827586,180.76666666666668,0.6036326756407892,27.4,0.4666666666666667,0.0170316301703163,0,0,29.4,9.066666666666666,2.316666666666667,0,0,1,75.15,0.2,9.316666666666666,1.2666666666666666,0.55
adaptability,應變力,戰術,40,0.5423728813559322,0.8194103566452237,68.75,0.9833333333333333,22.73416666666667,11.483333333333333,13.65,5.666666666666667,20.25,0,0,0,0,,,0,0,0,,0,0,0,0.29651754257939106,7.9,0.5358649789029536,0.052742616033755275,20.25,0.10781893004115226,3.7275720164609054,0.827462336424618,1.3,0.11403508771929824,1.1447368421052633,1.3320610687022902,4.2,0.08333333333333333,0,1.5166666666666666,0.3611111111111111,0,0.8412698412698412,3.933333333333333,2.7666666666666666,7.516666666666667,2.816666666666667,0.3747228381374723,71.63017751479289,0.3211982793409292,2.233502538071066,3.1666666666666665,0.4212860310421286,166.75,0.6021989005497251,25.316666666666666,0.45,0.017774851876234364,0,0,32.35,6.866666666666666,0,0,0,1,62.7,0.2,9.069999999999997,1.1166666666666667,0.43333333333333335
adaptability,應變力,戰術,70,0.5,0.8144241826262082,70.73333333333333,1,22.490277777777788,11.35,11.35,5.933333333333334,20.65,0,0,0,0,,,0,0,0,,0,0,0,0.29535548204799406,7.766666666666667,0.594420600858369,0.07081545064377683,20.65,0.10815173527037934,3.7772397094430996,0.8352745013277343,1.5166666666666666,0.11592356687898088,1.1936305732484076,1.1094890510948905,6.1,0.06666666666666667,0,2.35,0.3852459016393443,0,1,3.8,2.6,7.333333333333333,2.75,0.375,65.23636363636363,0.318085015027909,2.235449735449736,3.15,0.42954545454545456,168.75,0.6040493827160494,25.05,0.38333333333333336,0.015302727877578177,0,0,31.616666666666667,7.933333333333334,0,0,0,1,66.96666666666667,0.26666666666666666,9.066666666666666,1.5333333333333334,0.5333333333333333
adaptability,應變力,戰術,90,0.3898305084745763,0.811426124447358,74.51666666666667,0.9833333333333333,23.033750000000005,11.7,12.35,5.983333333333333,21.55,0,0,0,0,,,0,0,0,,0,0,0,0.2976771241094526,7.983333333333333,0.5762004175365344,0.10647181628392484,21.55,0.11910286156225831,3.7648878576952827,0.8607176667088752,1.65,0.13396481732070364,1.162381596752368,1.253846153846154,5.833333333333333,0.13333333333333333,0,2.4,0.4114285714285714,0,0.9473684210526315,3.966666666666667,2.85,7.566666666666666,2.6666666666666665,0.3524229074889868,72.090625,0.30202028463929326,2.2248062015503876,2.966666666666667,0.39207048458149785,174.9,0.6026300743281876,25.616666666666667,0.48333333333333334,0.018867924528301886,0,0,32.78333333333333,9.05,1.35,0,0,1,71.16666666666667,0.3,9.040000000000003,1.1833333333333333,0.31666666666666665
courage,勇氣,心理,40,0.4067796610169492,0.8069739712784769,76.75,0.9833333333333333,23.216111111111108,13.25,10.55,6.866666666666666,21.283333333333335,0,0,0,0,,,0,0,0,,0,0,0,0.34501707915189034,7.183333333333334,0.531322505800464,0.06496519721577726,21.283333333333335,0.12372748629600626,3.779169929522318,0.8400356553159922,0.9166666666666666,0.08675078864353312,1.2539432176656151,1.25,4.45,0.1,0.016666666666666666,1.7833333333333334,0.40074906367041196,0.0036496350364963507,1.2559241706161137,4,2.8,7.433333333333334,2.85,0.3834080717488789,76.00877192982456,0.31930703130716137,2.3229974160206717,3.4,0.45739910313901344,173.96666666666667,0.6032764897489941,25.733333333333334,0.4666666666666667,0.018134715025906734,0,0,29.8,7.633333333333334,0,0,0,1,77.26666666666667,0.21666666666666667,9.283333333333335,1.8666666666666667,0.7833333333333333
courage,勇氣,心理,70,0.5,0.8144241826262082,70.73333333333333,1,22.490277777777788,11.35,11.35,5.933333333333334,20.65,0,0,0,0,,,0,0,0,,0,0,0,0.29535548204799406,7.766666666666667,0.594420600858369,0.07081545064377683,20.65,0.10815173527037934,3.7772397094430996,0.8352745013277343,1.5166666666666666,0.11592356687898088,1.1936305732484076,1.1094890510948905,6.1,0.06666666666666667,0,2.35,0.3852459016393443,0,1,3.8,2.6,7.333333333333333,2.75,0.375,65.23636363636363,0.318085015027909,2.235449735449736,3.15,0.42954545454545456,168.75,0.6040493827160494,25.05,0.38333333333333336,0.015302727877578177,0,0,31.616666666666667,7.933333333333334,0,0,0,1,66.96666666666667,0.26666666666666666,9.066666666666666,1.5333333333333334,0.5333333333333333
courage,勇氣,心理,90,0.5423728813559322,0.821202705569817,68.6,0.9833333333333333,22.646666666666665,12.683333333333334,13.2,6.733333333333333,21.666666666666668,0,0,0,0,,,0,0,0,,0,0,0,0.2623095568056641,8.2,0.6219512195121951,0.05894308943089432,21.666666666666668,0.11615384615384615,3.746153846153846,0.864923707192621,1.4333333333333333,0.09907834101382489,1.205069124423963,1.0593750000000002,6.316666666666666,0.06666666666666667,0,1.7833333333333334,0.2823218997361478,0,0.960858585858586,4.05,2.816666666666667,7.566666666666666,3.05,0.4030837004405286,77.69398907103826,0.33711251808032433,2.362924281984334,3.533333333333333,0.4669603524229075,172.28333333333333,0.6058817838831383,25.183333333333334,0.5333333333333333,0.021178027796161483,0,0.03333333333333333,33.36666666666667,8.483333333333333,0,0,0,1,61.28333333333333,0.36666666666666664,9.363333333333333,2.45,1.05
