key,zh,cat,value,winRate,fightUptime,returns,decidedRate,minutes,k,d,a,groupedFights,roamEpisodes,roamEngaged,roamPaid,roamMissed,roamEngageRate,roamPaidRate,roamDeclined,roamAborted,roamRetargeted,roamDeclineRate,roamLaneTop,roamLaneMid,roamLaneBot,retreatAtMean,tfRolls,tfGoRate,tfBehindRate,tfEpisodes,tfWonRate,tfPeakMean,tfHeadMean,tfSoloEntry,tfSoloRate,tfReadyAtEngage,tfArrivalSpread,tfCommit,tfHoldN,tfDecline,tfBadCommit,tfBadCommitRate,tfDeclineRate,tfExchange,dragonContests,baronContests,objSpawns,objRallies,objRallyRate,objRallyDelay,objHeadMean,objHeadPeak,objKills,objKillRate,objRolls,objRollGoRate,ganks,gankKills,gankRate,roams,invades,towerPushes,splitPush,focusSwap,castMissRate,wasteRate,csRate,retreats,chaseDropped,mlv,diveTry,diveOk
reflex,反應速度,操作,40,0.38596491228070173,0.807506189465006,77,0.95,23.814861111111114,12.633333333333333,14.616666666666667,5.533333333333333,21.633333333333333,0,0,0,0,,,0,0,0,,0,0,0,0.29718971902634195,9,0.55,0.07037037037037036,21.633333333333333,0.10092449922958396,3.7557781201849,0.8264972268716428,1.75,0.13689700130378096,1.1329856584093871,1.3975409836065575,5.933333333333334,0.21666666666666667,0,2.1,0.3539325842696629,0,0.8643101482326111,4.016666666666667,3,7.9,2.65,0.3354430379746835,75.16037735849058,0.28892674616695063,2.1955445544554455,3.066666666666667,0.38818565400843885,175.46666666666667,0.5963145896656535,26.35,0.48333333333333334,0.018342820999367487,0,0,31.516666666666666,0,0,0,0.03155725494090774,1,73.46666666666667,0.23333333333333334,9.076666666666666,2.033333333333333,0.5
reflex,反應速度,操作,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,21.816666666666666,0,0,0,0,,,0,0,0,,0,0,0,0.29447918126409006,9.216666666666667,0.5768535262206148,0.04701627486437613,21.816666666666666,0.10313216195569137,3.7494270435446904,0.8608994543662716,1.6166666666666667,0.11149425287356322,1.225287356321839,1.1711409395973154,6.283333333333333,0,0,2.3,0.36604774535809015,0,1,3.8666666666666667,2.933333333333333,7.6,3,0.39473684210526316,80.06944444444444,0.31652148332162067,2.3092783505154637,3.2333333333333334,0.4254385964912281,176.05,0.6028590362586387,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
reflex,反應速度,操作,90,0.49122807017543857,0.809454870690189,76.3,0.95,23.860416666666655,13.466666666666667,12.983333333333333,6.55,23.1,0,0,0,0,,,0,0,0,,0,0,0,0.2948829842112621,9.633333333333333,0.6020761245674741,0.051903114186851215,23.1,0.10317460317460317,3.724386724386724,0.8482610087604412,1.9833333333333334,0.12486883525708291,1.1594963273871983,1.347953216374269,6.883333333333334,0.05,0,2.7666666666666666,0.4019370460048426,0,1.037227214377407,4.016666666666667,3.066666666666667,7.916666666666667,2.8666666666666667,0.3621052631578947,74.92151162790698,0.3135969933598099,2.2034313725490193,3.25,0.4105263157894737,178.38333333333333,0.6044099785106979,26.266666666666666,0.4,0.015228426395939087,0,0,31.516666666666666,0,0,0,0,1,72.9,0.31666666666666665,9.40333333333333,1.6,0.7
accuracy,精準度,操作,40,0.3888888888888889,0.8106940437043969,76.21666666666667,0.9,24.01111111111111,13.316666666666666,14.35,7.316666666666666,22.033333333333335,0,0,0,0,,,0,0,0,,0,0,0,0.2951873386131362,10.083333333333334,0.5652892561983471,0.06115702479338843,22.033333333333335,0.10136157337367624,3.759455370650529,0.8482068486811661,1.3333333333333333,0.0936768149882904,1.2459016393442623,1.0993589743589745,5.916666666666667,0.016666666666666666,0.016666666666666666,2.1,0.3549295774647887,0.0028011204481792717,0.9279907084785134,4.066666666666666,3.066666666666667,8,3,0.375,72.58611111111111,0.31630197548827577,2.218527315914489,3.1666666666666665,0.3958333333333333,180.18333333333334,0.6048469151789844,26.416666666666668,0.45,0.017034700315457414,0,0,31.066666666666666,0,0,0,0.03738058629294482,0.953805250913925,73.56666666666666,0.25,9.040000000000001,1.8666666666666667,0.5333333333333333
accuracy,精準度,操作,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,21.816666666666666,0,0,0,0,,,0,0,0,,0,0,0,0.29447918126409006,9.216666666666667,0.5768535262206148,0.04701627486437613,21.816666666666666,0.10313216195569137,3.7494270435446904,0.8608994543662716,1.6166666666666667,0.11149425287356322,1.225287356321839,1.1711409395973154,6.283333333333333,0,0,2.3,0.36604774535809015,0,1,3.8666666666666667,2.933333333333333,7.6,3,0.39473684210526316,80.06944444444444,0.31652148332162067,2.3092783505154637,3.2333333333333334,0.4254385964912281,176.05,0.6028590362586387,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
accuracy,精準度,操作,90,0.5263157894736842,0.8122504640273244,74.5,0.95,23.543750000000003,12.233333333333333,13.283333333333333,6.25,22.45,0,0,0,0,,,0,0,0,,0,0,0,0.29629916728096134,9.266666666666667,0.5647482014388489,0.11151079136690648,22.45,0.11952487008166295,3.7423904974016335,0.8611863256938914,1.6,0.11123986095017382,1.2769409038238704,1.299342105263158,6.333333333333333,0.11666666666666667,0,2.4833333333333334,0.3921052631578948,0,0.9209535759096612,3.8833333333333333,2.95,7.916666666666667,3.05,0.3852631578947368,78.7431693989071,0.31808481619947687,2.25062656641604,3.2666666666666666,0.4126315789473684,178.81666666666666,0.6067667070556436,26.05,0.31666666666666665,0.012156110044785668,0,0,31.166666666666668,0,0,0,0,1,71.61666666666666,0.26666666666666666,9.279999999999998,1.6666666666666667,0.6833333333333333
apm,操作速度,操作,40,0.4,0.8121086350162715,74.76666666666667,0.9166666666666666,23.419305555555557,12.816666666666666,14.016666666666667,6.516666666666667,20.9,0,0,0,0,,,0,0,0,,0,0,0,0.29700309172062234,9.366666666666667,0.6067615658362989,0.06583629893238434,20.9,0.10845295055821372,3.7559808612440193,0.8230151999478114,2.0166666666666666,0.12804232804232804,1.164021164021164,1.1976047904191618,6.616666666666666,0.016666666666666666,0,1.95,0.2947103274559194,0,0.9143876337693222,4.033333333333333,2.8833333333333333,7.983333333333333,2.683333333333333,0.33611691022964507,68.50621118012423,0.3066231824057724,2.191646191646192,3.0833333333333335,0.3862212943632568,169.31666666666666,0.6001574958165173,24.383333333333333,0.5166666666666667,0.021189336978810664,0,0,31.416666666666668,0,0,0,0,0.9696812196812197,72.15,0.36666666666666664,8.943333333333333,1.7666666666666666,0.8
apm,操作速度,操作,70,0.5,0.8109538127608835,72.61666666666666,0.9666666666666667,23.112777777777787,12.033333333333333,12.033333333333333,5.8,21.816666666666666,0,0,0,0,,,0,0,0,,0,0,0,0.29447918126409006,9.216666666666667,0.5768535262206148,0.04701627486437613,21.816666666666666,0.10313216195569137,3.7494270435446904,0.8608994543662716,1.6166666666666667,0.11149425287356322,1.225287356321839,1.1711409395973154,6.283333333333333,0,0,2.3,0.36604774535809015,0,1,3.8666666666666667,2.933333333333333,7.6,3,0.39473684210526316,80.06944444444444,0.31652148332162067,2.3092783505154637,3.2333333333333334,0.4254385964912281,176.05,0.6028590362586387,25.516666666666666,0.36666666666666664,0.014369693011103853,0,0,31.266666666666666,0,0,0,0,1,69.31666666666666,0.26666666666666666,9.156666666666668,1.5,0.6333333333333333
apm,操作速度,操作,90,0.6440677966101694,0.8170726135892832,70.68333333333334,0.9833333333333333,22.92291666666667,12.283333333333333,12.916666666666666,5.75,21.15,0,0,0,0,,,0,0,0,,0,0,0,0.2938099739315067,9.5,0.5491228070175439,0.05087719298245614,21.15,0.10559495665878646,3.775413711583924,0.858238662183041,1.8333333333333333,0.12629161882893225,1.21699196326062,1.4137931034482758,7,0.11666666666666667,0.016666666666666666,2.533333333333333,0.3619047619047619,0.002336448598130841,0.950967741935484,3.9833333333333334,2.8833333333333333,7.75,3.15,0.4064516129032258,66.64814814814815,0.3354429300080176,2.332493702770781,3.6,0.4645161290322581,173.6,0.5962941628264209,26.733333333333334,0.3333333333333333,0.012468827930174562,0,0,32.05,0,0,0,0,1,66.8,0.2,9.44,2.283333333333333,0.6833333333333333
positioning,走位,操作,40,0.5087719298245614,0.8192444232722764,72.26666666666667,0.95,23.553749999999994,13.233333333333333,14.833333333333334,7.083333333333333,22.316666666666666,0,0,0,0,,,0,0,0,,0,0,0,0.25639346950739694,9.833333333333334,0.6203389830508473,0.04576271186440678,22.316666666666666,0.11277072442120986,3.7423450336071697,0.8674367728658448,2.1333333333333333,0.13168724279835392,1.2016460905349793,1.3954802259887003,6.833333333333333,0.23333333333333334,0.05,2.6,0.3804878048780488,0.007025761124121781,0.8921348314606741,4.35,2.9166666666666665,8.016666666666667,3.316666666666667,0.4137214137214137,72.84422110552764,0.34265244204069517,2.326034063260341,3.933333333333333,0.49064449064449056,177.41666666666666,0.6061061531235322,26.083333333333332,0.35,0.0134185303514377,0,0,33.25,0,0,0,0.015941155191125045,1,64.28333333333333,0.43333333333333335,9.493333333333332,1.6,0.6
