key,zh,cat,value,winRate,decidedRate,minutes,k,d,a,ganks,gankKills,gankRate,roams,invades,towerPushes,splitPush,focusSwap,castMissRate,wasteRate,csRate,retreats,chaseDropped,mlv,diveTry,diveOk
reflex,反應速度,操作,40,0.375,1,23.003125,11.25,13.6875,4.5625,25.625,0.3125,0.012195121951219513,0,0,30.9375,0,0,0,0.028792912513842746,1,69.9375,0.25,8.8375,1.75,0.375
reflex,反應速度,操作,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
reflex,反應速度,操作,90,0.6666666666666666,0.9375,24.777083333333334,14.9375,14.6875,6.4375,27.375,0.5,0.0182648401826484,0,0,31.25,0,0,0,0,1,75.75,0.1875,9.575,1.1875,0.25
accuracy,精準度,操作,40,0.35714285714285715,0.875,24.664062500000004,14,14.75,8.5,27.25,0.5,0.01834862385321101,0,0,31.375,0,0,0,0.034563726871419176,0.9524096385542169,77.5625,0.375,9.149999999999999,1.75,0.25
accuracy,精準度,操作,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
accuracy,精準度,操作,90,0.6875,1,22.955208333333335,10.8125,11.25,5.5625,25.5,0.25,0.00980392156862745,0,0,31.125,0,0,0,0,1,68.5625,0.125,9.299999999999999,1.25,0.5
apm,操作速度,操作,40,0.3333333333333333,0.9375,22.3875,11.1875,12.75,4.9375,23.5,0.5625,0.023936170212765957,0,0,31.0625,0,0,0,0,0.9674202127659575,68.375,0.3125,8.55,2.375,1.25
apm,操作速度,操作,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
apm,操作速度,操作,90,0.4375,1,22.10625,10.8125,12.625,5.75,25.9375,0.125,0.004819277108433735,1.125,0,30.8125,0,0,0,0,1,66.5625,0.125,8.825,3,0.75
positioning,走位,操作,40,0.7333333333333333,0.9375,24.39791666666667,15.25,14.875,8,27.125,0.75,0.027649769585253458,0,0,32.375,0,0,0,0.011916494937729593,1,65,0.3125,10.325,1.6875,0.75
positioning,走位,操作,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
positioning,走位,操作,90,0.26666666666666666,0.9375,23.986979166666668,13.125,12.75,6.5625,26.5625,0.3125,0.011764705882352941,0,0,29,0,0,0,0,1,78.3125,0.625,9.125,1.8125,0.5
mapAware,視野意識,戰術,40,0.1875,1,23.173437500000002,12.75,13.5625,5.9375,23.4375,0.25,0.010666666666666666,0,0,33.25,0,0,0,0,1,69.1875,0.0625,9.212499999999999,1.625,0.6875
mapAware,視野意識,戰術,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
mapAware,視野意識,戰術,90,0.6875,1,22.027083333333334,11.375,10,5.375,26.3125,0.5625,0.021377672209026127,1.5,0,31.6875,0,2.4375,0,0,1,61.9375,0.1875,9.325,1.875,0.3125
tacticalIQ,戰術理解,戰術,40,0.4375,1,24.2828125,12.0625,16,6,26.9375,0.5,0.018561484918793503,0,0,34.125,0,0,0.050561797752809,0,1,77.125,0.5,9.024999999999999,1.75,0.75
tacticalIQ,戰術理解,戰術,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
tacticalIQ,戰術理解,戰術,90,0.4375,1,22.700520833333332,10.9375,12.6875,5.875,24.9375,0.3125,0.012531328320802004,0,0,30.75,0,0,0,0,1,67.3125,0.4375,9.15,3,1.0625
decision,決策力,戰術,40,0.4666666666666667,0.9375,22.954687500000006,12.125,14.9375,6.25,24.4375,0.375,0.015345268542199489,0,0,34,0,0,0.04761904761904767,0,1,57.5625,0.25,8.975,1.5625,0.375
decision,決策力,戰術,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
decision,決策力,戰術,90,0.35714285714285715,0.875,24.541666666666664,13.1875,14.3125,7.125,28.0625,0.3125,0.011135857461024499,0,0,31.5,0,2.125,0,0,1,79.875,0.375,9.3125,1.875,0.75
adaptability,應變力,戰術,40,0.4375,1,23.065625,11.5625,14,6.5,25.9375,0.375,0.014457831325301205,0,0,30.75,0,0,0,0,1,64.9375,0.25,8.975,2.25,0.8125
adaptability,應變力,戰術,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
adaptability,應變力,戰術,90,0.4375,1,22.578125,12.625,10.3125,5.875,25.125,0.1875,0.007462686567164179,0,0,30.6875,0,1.6875,0,0,1,68.5,0.4375,9.3125,1.3125,0.5
courage,勇氣,心理,40,0.1875,1,22.3109375,11.125,10.1875,5.5625,25,0.3125,0.0125,0,0,27.875,0,0,0,0,1,76.5625,0.25,8.7125,1.3125,0.4375
courage,勇氣,心理,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
courage,勇氣,心理,90,0.2,0.9375,23.023958333333333,11.0625,15.4375,5.125,25.6875,0.4375,0.0170316301703163,0,0,34,0,0,0,0,1,66.6875,0.625,8.874999999999998,2,1.25
clutch,抗壓,心理,40,0.4375,1,22.166145833333328,10.8125,10.4375,6.5,24.5625,0.375,0.015267175572519083,0,0,29.625,0,0,0.037735849056603765,0,1,71.625,0.25,8.8375,2.375,0.9375
clutch,抗壓,心理,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
clutch,抗壓,心理,90,0.5,1,23.22291666666667,11.375,14.125,5.25,25.9375,0.3125,0.012048192771084338,0,0,33.5625,0,0,0,0,1,67.4375,0.3125,9.075000000000003,1.5,0.625
focus,專注力,心理,40,0.375,1,22.276562499999997,10.0625,13.3125,5.25,24.6875,0.0625,0.002531645569620253,0,0,31.6875,0,0,0,0,0.9777365491651205,64.375,0.3125,8.325000000000001,1.5625,0.0625
focus,專注力,心理,70,0.5,0.875,24.219791666666666,13.75,13.75,7.25,26.6875,0.3125,0.0117096018735363,0,0,30.6875,0,0,0,0,1,73.8125,0.1875,9.4375,1.125,0.25
focus,專注力,心理,90,0.46153846153846156,0.8125,24.98229166666667,14.75,13.875,8.1875,27.5625,0.5,0.018140589569160998,0,0,30.0625,0,0,0,0,1,76.9375,0,9.637500000000001,1.0625,0.375
resilience,韌性,心理,40,0.3125,1,22.786979166666672,11.625,10.5,6.4375,25.125,0.625,0.024875621890547265,0,0,29.25,0,0,0,0,1,71.5,0.375,8.924999999999999,1.5,0.375
